"ID","ModernName","Date","Notes","Field1"
28,"common loon 
common loon 	4/28/1927
common loon 	4/29/1927
common loon 	4/30/1927
common loon",4/17/1927 0:00:00,,
29,"common loon",4/24/1927 0:00:00,,
30,"common loon",5/1/1927 0:00:00,,
31,"common loon",5/8/1927 0:00:00,,
32,"herring gull",3/6/1927 0:00:00,,
33,"herring gull",3/13/1927 0:00:00,,
34,"herring gull",3/20/1927 0:00:00,,
37,"herring gull",3/27/1927 0:00:00,,
38,"herring gull",4/3/1927 0:00:00,,
39,"herring gull",4/10/1927 0:00:00,,
40,"herring gull",4/24/1927 0:00:00,,
41,"herring gull",5/1/1927 0:00:00,,
42,"herring gull",5/8/1927 0:00:00,,
43,"herring gull",5/29/1927 0:00:00,,
44,"bonaparte's gull",3/20/1927 0:00:00,,
45,"bonaparte's gull",3/27/1927 0:00:00,,
46,"bonaparte's gull",4/3/1927 0:00:00,,
47,"bonaparte's gull",4/10/1927 0:00:00,,
48,"bonaparte's gull",4/17/1927 0:00:00,,
49,"bonaparte's gull",5/1/1927 0:00:00,,
50,"bonaparte's gull",5/8/1927 0:00:00,,
51,"bonaparte's gull",5/15/1927 0:00:00,,
52,"bonaparte's gull",5/29/1927 0:00:00,,
53,"common tern",4/24/1927 0:00:00,,
54,"common tern",5/8/1927 0:00:00,,
55,"common tern",5/15/1927 0:00:00,,
56,"common tern",5/22/1927 0:00:00,,
57,"common tern",5/29/1927 0:00:00,,
58,"common merganser",3/6/1927 0:00:00,,
59,"red-breasted merganser",3/13/1927 0:00:00,,
60,"red-breasted merganser",3/27/1927 0:00:00,,
61,"red-breasted merganser",4/3/1927 0:00:00,,
62,"red-breasted merganser",4/10/1927 0:00:00,,
63,"red-breasted merganser",4/17/1927 0:00:00,,
64,"red-breasted merganser",4/24/1927 0:00:00,,
65,"red-breasted merganser",5/1/1927 0:00:00,,
66,"red-breasted merganser",5/8/1927 0:00:00,,
67,"lesser scaup",3/6/1927 0:00:00,,
68,"lesser scaup",3/13/1927 0:00:00,,
69,"lesser scaup",3/27/1927 0:00:00,,
70,"lesser scaup",4/3/1927 0:00:00,,
71,"lesser scaup",4/10/1927 0:00:00,,
72,"lesser scaup",4/24/1927 0:00:00,,
73,"lesser scaup",5/1/1927 0:00:00,,
74,"common goldeneye",3/6/1927 0:00:00,,
75,"common goldeneye",3/13/1927 0:00:00,,
76,"common goldeneye",3/20/1927 0:00:00,,
77,"common goldeneye",3/27/1927 0:00:00,,
78,"common goldeneye",4/3/1927 0:00:00,,
79,"common goldeneye",4/10/1927 0:00:00,,
80,"long-tailed duck",3/6/1927 0:00:00,,
81,"long-tailed duck",3/13/1927 0:00:00,,
82,"long-tailed duck",3/20/1927 0:00:00,,
83,"long-tailed duck",3/27/1927 0:00:00,,
84,"long-tailed duck",4/3/1927 0:00:00,,
85,"long-tailed duck",4/10/1927 0:00:00,,
86,"long-tailed duck",4/24/1927 0:00:00,,
87,"green heron",5/8/1927 0:00:00,,
88,"green heron",5/22/1927 0:00:00,,
89,"sora",5/1/1927 0:00:00,,
90,"sora",5/8/1927 0:00:00,,
91,"olive-sided flycatcher",5/21/1927 0:00:00,,
92,"olive-sided flycatcher",5/22/1927 0:00:00,,
93,"eastern wood peewee",5/22/1927 0:00:00,,
94,"eastern wood peewee",5/29/1927 0:00:00,,
95,"yellow-bellied flycatcher",5/21/1927 0:00:00,,
96,"yellow-bellied flycatcher",5/22/1927 0:00:00,,
97,"yellow-bellied flycatcher",5/29/1927 0:00:00,,
98,"least flycatcher",5/8/1927 0:00:00,,
99,"least flycatcher",5/15/1927 0:00:00,,
100,"least flycatcher",5/21/1927 0:00:00,,
101,"least flycatcher",5/22/1927 0:00:00,,
102,"least flycatcher",5/29/1927 0:00:00,,
103,"blue jay",5/1/1927 0:00:00,,
104,"blue jay",5/7/1927 0:00:00,,
105,"blue jay",5/8/1927 0:00:00,,
106,"blue jay",5/15/1927 0:00:00,,
107,"blue jay",5/21/1927 0:00:00,,
108,"blue jay",5/22/1927 0:00:00,,
109,"blue jay",5/29/1927 0:00:00,,
110,"american crow",3/13/1927 0:00:00,,
111,"american crow",5/7/1927 0:00:00,,
112,"american crow",5/21/1927 0:00:00,,
113,"bobolink",5/8/1927 0:00:00,,
114,"brown-headed cowbird",4/10/1927 0:00:00,,
115,"brown-headed cowbird",5/8/1927 0:00:00,,
116,"red-winged blackbird",3/6/1927 0:00:00,,
117,"red-winged blackbird",3/20/1927 0:00:00,,
118,"red-winged blackbird",4/17/1927 0:00:00,,
119,"red-winged blackbird",4/24/1927 0:00:00,,
120,"red-winged blackbird",5/1/1927 0:00:00,,
121,"red-winged blackbird",5/8/1927 0:00:00,,
122,"red-winged blackbird",5/15/1927 0:00:00,,
123,"eastern meadowlark",3/13/1927 0:00:00,,
124,"eastern meadowlark",5/1/1927 0:00:00,,
125,"eastern meadowlark",5/7/1927 0:00:00,,
126,"rusty blackbird",4/17/1927 0:00:00,,
127,"common grackle",3/13/1927 0:00:00,,
128,"common grackle",3/20/1927 0:00:00,,
129,"common grackle",3/27/1927 0:00:00,,
130,"common grackle",4/3/1927 0:00:00,,
131,"common grackle",4/10/1927 0:00:00,,
132,"common grackle",4/17/1927 0:00:00,,
133,"common grackle",4/24/1927 0:00:00,,
134,"common grackle",5/1/1927 0:00:00,,
135,"common grackle",5/7/1927 0:00:00,,
136,"common grackle",5/8/1927 0:00:00,,
137,"common grackle",5/15/1927 0:00:00,,
138,"common grackle",5/21/1927 0:00:00,,
139,"common grackle",5/22/1927 0:00:00,,
140,"common grackle",5/29/1927 0:00:00,,
141,"purple finch",4/17/1927 0:00:00,,
142,"american goldfinch",5/15/1927 0:00:00,,
143,"american goldfinch",5/21/1927 0:00:00,,
144,"vesper sparrow",4/10/1927 0:00:00,,
145,"savanna sparrow",4/17/1927 0:00:00,,
146,"grasshopper sparrow",4/17/1927 0:00:00,,
147,"white-crowned sparrow",5/8/1927 0:00:00,,
148,"white-crowned sparrow",5/15/1927 0:00:00,,
149,"white-throated sparrow",4/17/1927 0:00:00,,
150,"white-throated sparrow",4/24/1927 0:00:00,,
151,"white-throated sparrow",5/1/1927 0:00:00,,
152,"white-throated sparrow",5/7/1927 0:00:00,,
153,"white-throated sparrow",5/8/1927 0:00:00,,
154,"white-throated sparrow",5/15/1927 0:00:00,,
155,"white-throated sparrow",5/18/1927 0:00:00,,
156,"white-throated sparrow",5/19/1927 0:00:00,,
157,"white-throated sparrow",5/22/1927 0:00:00,,
158,"american tree sparrow",3/13/1927 0:00:00,,
159,"chipping sparrow",5/8/1927 0:00:00,,
160,"chipping sparrow",5/15/1927 0:00:00,,
161,"field sparrow",3/27/1927 0:00:00,,
162,"field sparrow",4/17/1927 0:00:00,,
163,"field sparrow",4/24/1927 0:00:00,,
164,"field sparrow",5/1/1927 0:00:00,,
165,"field sparrow",5/8/1927 0:00:00,,
166,"dark-eyed junco",3/13/1927 0:00:00,,
167,"dark-eyed junco",3/20/1927 0:00:00,,
168,"dark-eyed junco",3/27/1927 0:00:00,,
169,"dark-eyed junco",4/3/1927 0:00:00,,
170,"dark-eyed junco",4/10/1927 0:00:00,,
171,"dark-eyed junco",4/17/1927 0:00:00,,
172,"dark-eyed junco",5/1/1927 0:00:00,,
173,"song sparrow",3/13/1927 0:00:00,,
174,"song sparrow",3/20/1927 0:00:00,,
175,"song sparrow",3/27/1927 0:00:00,,
176,"song sparrow",4/3/1927 0:00:00,,
177,"song sparrow",4/10/1927 0:00:00,,
178,"song sparrow",4/17/1927 0:00:00,,
179,"song sparrow",4/24/1927 0:00:00,,
180,"song sparrow",5/7/1927 0:00:00,,
181,"song sparrow",5/21/1927 0:00:00,,
182,"lincoln's sparrow",5/1/1927 0:00:00,,
183,"lincoln's sparrow",5/8/1927 0:00:00,,
184,"lincoln's sparrow",5/22/1927 0:00:00,,
185,"swamp sparrow",3/20/1927 0:00:00,,
186,"swamp sparrow",4/3/1927 0:00:00,,
187,"swamp sparrow",4/17/1927 0:00:00,,
188,"swamp sparrow",4/24/1927 0:00:00,,
189,"swamp sparrow",5/1/1927 0:00:00,,
190,"swamp sparrow",5/8/1927 0:00:00,,
191,"fox sparrow",3/13/1927 0:00:00,,
192,"fox sparrow",4/10/1927 0:00:00,,
193,"eastern towhee",4/10/1927 0:00:00,,
194,"eastern towhee",4/17/1927 0:00:00,,
195,"eastern towhee",4/24/1927 0:00:00,,
196,"eastern towhee",5/1/1927 0:00:00,,
197,"eastern towhee",5/8/1927 0:00:00,,
198,"northern cardinal",5/7/1927 0:00:00,,
199,"northern cardinal",5/15/1927 0:00:00,,
200,"northern cardinal",5/21/1927 0:00:00,,
201,"rose-breasted grosbeak",5/8/1927 0:00:00,,
202,"rose-breasted grosbeak",5/21/1927 0:00:00,,
203,"rose-breasted grosbeak",5/29/1927 0:00:00,,
204,"indigo bunting",5/15/1927 0:00:00,,
205,"indigo bunting",5/21/1927 0:00:00,,
206,"indigo bunting",5/22/1927 0:00:00,,
207,"indigo bunting",5/29/1927 0:00:00,,
208,"scarlet tanager",5/15/1927 0:00:00,,
209,"scarlet tanager",5/21/1927 0:00:00,,
210,"purple martin",4/17/1927 0:00:00,,
211,"purple martin",4/24/1927 0:00:00,,
212,"purple martin",5/1/1927 0:00:00,,
213,"purple martin",5/8/1927 0:00:00,,
214,"purple martin",5/15/1927 0:00:00,,
215,"purple martin",5/22/1927 0:00:00,,
216,"purple martin",5/29/1927 0:00:00,,
217,"barn swallow",5/15/1927 0:00:00,,
218,"red-eyed vireo",5/22/1927 0:00:00,,
219,"red-eyed vireo",5/29/1927 0:00:00,,
220,"philadelphia vireo",5/29/1927 0:00:00,,
221,"warbling vireo",5/15/1927 0:00:00,,
222,"warbling vireo",5/29/1927 0:00:00,,
223,"blue-headed vireo",5/15/1927 0:00:00,,
224,"blue-headed vireo",5/21/1927 0:00:00,,
225,"black and white warbler",5/7/1927 0:00:00,,
226,"black and white warbler",5/8/1927 0:00:00,,
227,"black and white warbler",5/15/1927 0:00:00,,
228,"black and white warbler",5/21/1927 0:00:00,,
229,"nashville warbler",5/15/1927 0:00:00,,
