"ID","BooksCommonName","Date"
1,"Mourning Dove",4/1/1903 0:00:00
2,"Marsh Hawk",4/25/1899 0:00:00
3,"Sparrow Hawk",5/18/1898 0:00:00
4,"Yellow-billed Cuckoo",5/19/1898 0:00:00
5,"Black-billed Cuckoo",5/27/1899 0:00:00
6,"Belted Kingfisher",3/28/1897 0:00:00
7,"Hairy Woodpecker",4/11/1898 0:00:00
8,"Downy Woodpecker",4/7/1897 0:00:00
9,"Yellow-bellied Sapsucker",4/25/1897 0:00:00
10,"Red-bellied Woodpecker",5/22/1898 0:00:00
11,"Red-headed Woodpecker",4/26/1897 0:00:00
12,"Flicker",4/15/1897 0:00:00
13,"Whip-poor-will",5/21/1898 0:00:00
14,"Nighthawk",5/10/1899 0:00:00
15,"Chimney Swift",5/1/1897 0:00:00
16,"Ruby-throated Hummingbird",5/19/1898 0:00:00
17,"Kingbird",4/29/1897 0:00:00
18,"Great-crested Flycatcher",5/3/1898 0:00:00
19,"Phoebe",4/7/1897 0:00:00
20,"Wood Pewee",4/27/1897 0:00:00
21,"Yellow-bellied Flycatcher",4/29/1900 0:00:00
22,"Least Flycatcher",5/12/1897 0:00:00
23,"Blue Jay",
24,"Crow",3/9/1898 0:00:00
25,"Bobolink",5/14/1898 0:00:00
26,"Cowbird",4/4/1897 0:00:00
27,"Yellow-headed Blackbird",5/17/1901 0:00:00
28,"Red-winged Blackbird",5/7/1898 0:00:00
29,"Meadowlark",3/14/1898 0:00:00
30,"Orchard Oriole",5/15/1898 0:00:00
31,"Baltimore Oriole",4/30/1898 0:00:00
32,"Rusty Blackbird",4/19/1900 0:00:00
33,"Bronzed Grackle",3/29/1897 0:00:00
34,"Purple Finch",4/24/1898 0:00:00
35,"American Goldfinch",4/25/1897 0:00:00
36,"Vesper Sparrow",4/22/1900 0:00:00
37,"Savanna Sparrow",3/19/1903 0:00:00
38,"Henslow Sparrow",4/29/1898 0:00:00
39,"White-crowned Sparrow",5/5/1897 0:00:00
40,"White-throated Sparrow",4/26/1897 0:00:00
41,"Tree Sparrow",4/6/1900 0:00:00
42,"Chipping Sparrow",4/15/1897 0:00:00
43,"Field Sparrow",4/23/1899 0:00:00
44,"Junco",3/28/1897 0:00:00
45,"Song Sparrow",4/8/1897 0:00:00
46,"Lincoln Sparrow",5/10/1900 0:00:00
47,"Swamp Sparrow",5/7/1898 0:00:00
48,"Fox Sparrow",4/8/1897 0:00:00
49,"Towhee",4/7/1897 0:00:00
50,"Cardinal",3/28/1897 0:00:00
51,"Rose-breasted Grosbeak",5/10/1899 0:00:00
52,"Indigo Bunting",5/14/1898 0:00:00
53,"Dickcissel",5/16/1901 0:00:00
54,"Scarlet Tanager",5/14/1898 0:00:00
55,"Summer Tanager",5/4/1899 0:00:00
56,"Purple Martin",5/25/1898 0:00:00
57,"Barn Swallow",4/18/1897 0:00:00
58,"Tree Swallow",5/11/1898 0:00:00
59,"Cedar Waxwing",4/11/1898 0:00:00
60,"Loggerhead Shrike",3/14/1898 0:00:00
61,"Red-eyed Vireo",5/10/1898 0:00:00
62,"Warbling Vireo",4/27/1897 0:00:00
63,"Yellow-throated Vireo",5/1/1898 0:00:00
64,"Blue-headed Vireo",5/17/1900 0:00:00
65,"Black and White Creeper",4/28/1897 0:00:00
66,"Prothonotary Warbler",5/16/1899 0:00:00
67,"Blue Golden-winged Warbler",5/14/1898 0:00:00
68,"Nashville Warbler",5/10/1898 0:00:00
69,"Tennessee Warbler",5/11/1898 0:00:00
70,"Parula Warbler",5/11/1898 0:00:00
71,"Cape May Warbler",5/13/1898 0:00:00
72,"Yellow Warbler",5/11/1897 0:00:00
73,"Black-throated Blue Warbler",5/11/1897 0:00:00
74,"Myrtle Warbler",4/14/1897 0:00:00
75,"Magnolia Warbler",4/26/1897 0:00:00
76,"Cerulean Warbler",5/12/1900 0:00:00
77,"Chestnut-sided Warbler",5/21/1897 0:00:00
78,"Bay-breasted Warbler",5/20/1898 0:00:00
79,"Black-poll Warbler",5/19/1898 0:00:00
80,"Blackburnian Warbler",5/12/1897 0:00:00
81,"Black-throated Green Warbler",4/18/1897 0:00:00
82,"Pine Warbler",4/26/1900 0:00:00
83,"Palm Warbler",4/29/1898 0:00:00
84,"Ovenbird",5/11/1897 0:00:00
85,"Grinnell Water-Thrush",4/30/1898 0:00:00
86,"Louisiana Water-Thrush",4/27/1902 0:00:00
87,"Connecticut Warbler",5/20/1903 0:00:00
88,"Mourning Warbler",5/20/1898 0:00:00
89,"Western Yellow-throat",4/26/1897 0:00:00
90,"Yellow-breasted Chat",5/2/1902 0:00:00
91,"Hooded Warbler",5/12/1903 0:00:00
92,"Wilson Black-cap Warbler",5/21/1897 0:00:00
93,"Canadian Warbler",5/19/1898 0:00:00
94,"American Redstart",5/11/1897 0:00:00
95,"Mockingbird",4/29/1901 0:00:00
96,"Catbird",4/26/1897 0:00:00
97,"Brown Thrasher",4/26/1897 0:00:00
98,"House Wren",4/14/1897 0:00:00
99,"Winter Wren",4/8/1897 0:00:00
100,"Long-billed Marsh Wren",4/14/1898 0:00:00
101,"Brown Creeper",4/7/1897 0:00:00
102,"White-breasted Nuthatch",4/7/1897 0:00:00
103,"Red-breasted Nuthatch",5/3/1900 0:00:00
104,"Chickadee",4/1/1898 0:00:00
105,"Golden-crowned Kinglet",4/7/1897 0:00:00
106,"Ruby-crowned Kinglet",4/14/1897 0:00:00
107,"Blue-gray Gnatcatcher",4/25/1898 0:00:00
108,"Wood thrush",4/18/1897 0:00:00
109,"Wilson Thrush",5/11/1897 0:00:00
110,"Gray-cheeked Thrush",5/21/1902 0:00:00
111,"Olive-backed Thrush",5/1/1898 0:00:00
112,"Hermit Thrush",3/31/1898 0:00:00
113,"Robin",3/28/1897 0:00:00
114,"Bluebird",3/28/1897 0:00:00
115,"Mourning Dove",5/9/1898 0:00:00
116,"Mourning Dove",3/25/1899 0:00:00
117,"Mourning Dove",4/6/1900 0:00:00
118,"Mourning Dove",4/10/1901 0:00:00
119,"Mourning Dove",4/26/1902 0:00:00
120,"Yellow-throated Vireo",5/12/1900 0:00:00
121,"Yellow-throated Vireo",5/5/1901 0:00:00
122,"Yellow-throated Vireo",4/28/1902 0:00:00
123,"Yellow-throated Vireo",5/12/1903 0:00:00
124,"Yellow-breasted Chat",5/11/1903 0:00:00
125,"Yellow-billed Cuckoo",5/1/1899 0:00:00
126,"Yellow-billed Cuckoo",5/16/1900 0:00:00
127,"Yellow-billed Cuckoo",5/17/1901 0:00:00
128,"Yellow-billed Cuckoo",5/17/1902 0:00:00
129,"Yellow-billed Cuckoo",5/12/1903 0:00:00
130,"Yellow-bellied Sapsucker",3/30/1898 0:00:00
