ID,ModernName,Date,Time,Transect,Location,AmountSeen,IdentificationMeans,Observer,Notes,WeatherConditions,Flyover
2408,Canada Goose,3/1/2013,11:05:00 AM,3,South of Nature Boardwalk,34,,Mason Fidino,,Overcast,FALSE
2407,Red-breasted Merganser,3/1/2013,10:43:00 AM,3,Canal,11,,Mason Fidino,,Overcast,FALSE
2406,American Crow,3/1/2013,10:43:00 AM,3,Canal,2,,Mason Fidino,,Overcast,FALSE
2405,Ring-Billed Gull,3/1/2013,10:43:00 AM,3,Canal,18,,Mason Fidino,,Overcast,FALSE
2404,Lesser Scaup,3/1/2013,10:43:00 AM,3,Canal,6,,Mason Fidino,,Overcast,FALSE
2403,Common Golden-eye,3/1/2013,10:43:00 AM,3,Canal,53,,Mason Fidino,,Overcast,FALSE
2402,Canada Goose,3/1/2013,10:43:00 AM,3,Canal,4,,Mason Fidino,,Overcast,FALSE
2401,Mallard,3/1/2013,10:32:00 AM,3,North Pond,1,,Mason Fidino,,Overcast,FALSE
2400,Common Golden-eye,3/1/2013,10:32:00 AM,3,North Pond,2,,Mason Fidino,,Overcast,FALSE
2399,House Sparrow,3/1/2013,10:32:00 AM,3,North Pond,1,,Mason Fidino,,Overcast,FALSE
2398,Ring-Billed Gull,3/1/2013,10:32:00 AM,3,North Pond,4,,Mason Fidino,,Overcast,FALSE
2397,American Crow,3/1/2013,10:32:00 AM,3,North Pond,4,,Mason Fidino,,Overcast,FALSE
2396,Black capped chickadee,3/1/2013,10:32:00 AM,3,North Pond,1,,Mason Fidino,,Overcast,FALSE
2395,Common Golden-eye,3/1/2013,10:10:00 AM,2,North Pond,1,,Mason Fidino,,Overcast,FALSE
2394,Hooded Merganser,3/1/2013,10:10:00 AM,2,North Pond,1,,Mason Fidino,,Overcast,FALSE
2393,Toulouse Goose (domestic goose breed),3/1/2013,10:10:00 AM,2,North Pond,2,,Mason Fidino,,Overcast,FALSE
2392,Mallard,3/1/2013,10:10:00 AM,2,North Pond,53,,Mason Fidino,,Overcast,FALSE
2391,Downy Woodpecker,3/1/2013,10:10:00 AM,2,North Pond,1,,Mason Fidino,,Overcast,FALSE
2390,Black capped chickadee,3/1/2013,10:10:00 AM,2,North Pond,5,,Mason Fidino,,Overcast,FALSE
2389,Northern Cardinal,3/1/2013,10:10:00 AM,2,North Pond,3,,Mason Fidino,,Overcast,FALSE
2388,Canada Goose,3/1/2013,10:10:00 AM,2,North Pond,12,,Mason Fidino,,Overcast,FALSE
2387,American Goldfinch,3/1/2013,10:10:00 AM,2,North Pond,2,,Mason Fidino,,Overcast,FALSE
2386,House Sparrow,3/1/2013,10:10:00 AM,2,North Pond,6,,Mason Fidino,,Overcast,FALSE
2385,American Crow,3/1/2013,10:10:00 AM,2,North Pond,7,,Mason Fidino,,Overcast,FALSE
2384,Northern Cardinal,3/1/2013,9:35:00 AM,2,Lincoln Park Zoo,2,,Mason Fidino,,Overcast,FALSE
2383,American Crow,3/1/2013,9:35:00 AM,2,Lincoln Park Zoo,2,,Mason Fidino,,Overcast,FALSE
2382,Mallard,3/1/2013,9:35:00 AM,2,Lincoln Park Zoo,75,,Mason Fidino,,Overcast,FALSE
