"ModernName","Year","arrival","ob","julian"
"Acadian Flycatcher",2013,2013-05-28,"Fidino",148
"American Black Duck",2013,2013-03-04,"Fidino",63
"American Black Duck",2014,2014-03-20,"Fidino",79
"American Black Duck",2015,2015-03-04,"Fidino",63
"American Coot",2012,2012-03-08,"Fidino",68
"American Coot",2013,2013-03-12,"Fidino",71
"American Coot",2014,2014-03-28,"Fidino",87
"American Coot",2015,2015-03-11,"Fidino",70
"American Crow",2012,2012-03-01,"Fidino",61
"American Crow",2013,2013-03-01,"Fidino",60
"American Crow",2014,2014-03-03,"Fidino",62
"American Crow",2015,2015-03-02,"Fidino",61
"American Goldfinch",2012,2012-04-10,"Fidino",101
"American Goldfinch",2013,2013-03-01,"Fidino",60
"American Goldfinch",2014,2014-03-11,"Fidino",70
"American Goldfinch",2015,2015-03-03,"Fidino",62
"American Kestrel",2012,2012-05-09,"Fidino",130
"American Kestrel",2013,2013-04-08,"Fidino",98
"American Kestrel",2015,2015-03-04,"Fidino",63
"American Pipit",2014,2014-04-10,"Fidino",100
"American Redstart",2012,2012-05-08,"Fidino",129
"American Redstart",2013,2013-05-06,"Fidino",126
"American Redstart",2014,2014-05-08,"Fidino",128
"American Redstart",2015,2015-05-04,"Fidino",124
"American Robin",2012,2012-03-14,"Fidino",74
"American Robin",2013,2013-03-02,"Fidino",61
"American Robin",2014,2014-03-11,"Fidino",70
"American Robin",2015,2015-03-02,"Fidino",61
"American Tree Sparrow",2012,2012-03-15,"Fidino",75
"American Tree Sparrow",2013,2013-03-02,"Fidino",61
"American Tree Sparrow",2014,2014-03-07,"Fidino",66
"American Tree Sparrow",2015,2015-03-12,"Fidino",71
"American Wigeon",2013,2013-04-05,"Fidino",95
"American Woodcock",2012,2012-05-08,"Fidino",129
"American Woodcock",2013,2013-04-03,"Fidino",93
"American Woodcock",2014,2014-04-10,"Fidino",100
"Baltimore Oriole",2012,2012-05-15,"Fidino",136
"Baltimore Oriole",2013,2013-05-10,"Fidino",130
"Baltimore Oriole",2014,2014-05-07,"Fidino",127
"Baltimore Oriole",2015,2015-05-04,"Fidino",124
"Bank Swallow",2014,2014-04-15,"Fidino",105
"Barn Swallow",2012,2012-05-04,"Fidino",125
"Barn Swallow",2013,2013-04-15,"Fidino",105
"Barn Swallow",2014,2014-04-22,"Fidino",112
"Barn Swallow",2015,2015-04-15,"Fidino",105
"Bay-breasted Warbler",2012,2012-05-18,"Fidino",139
"Bay-breasted Warbler",2013,2013-05-13,"Fidino",133
"Bay-breasted Warbler",2014,2014-05-14,"Fidino",134
"Belted Kingfisher",2012,2012-04-17,"Fidino",108
"Belted Kingfisher",2013,2013-04-05,"Fidino",95
"Belted Kingfisher",2014,2014-04-10,"Fidino",100
"Belted Kingfisher",2015,2015-04-03,"Fidino",93
"Black-and-white Warbler",2012,2012-05-08,"Fidino",129
"Black-and-white Warbler",2013,2013-04-15,"Fidino",105
"Black-and-white Warbler",2014,2014-04-23,"Fidino",113
"Black-and-white Warbler",2015,2015-05-06,"Fidino",126
"Black-capped Chickadee",2012,2012-03-07,"Fidino",67
"Black-capped Chickadee",2013,2013-03-01,"Fidino",60
