"","ModernName","Date","Time","Location","n","Observer","Weather","Year"
"1","gray catbird",2012-05-07,8H 30M 0S,"North Pond",3,"Mason Fidino","Drizzle",2012
"2","domestic goose",2012-05-07,8H 30M 0S,"North Pond",2,"Mason Fidino","Drizzle",2012
"3","white crowned sparrow",2012-05-07,8H 30M 0S,"North Pond",2,"Mason Fidino","Drizzle",2012
"4","yellow rumped warbler",2012-05-07,8H 30M 0S,"North Pond",10,"Mason Fidino","Drizzle",2012
"5","american goldfinch",2012-05-07,8H 30M 0S,"North Pond",4,"Mason Fidino","Drizzle",2012
"6","caspian tern",2012-05-07,8H 30M 0S,"North Pond",1,"Mason Fidino","Drizzle",2012
"7","red winged blackbird",2012-05-07,8H 30M 0S,"North Pond",5,"Mason Fidino","Drizzle",2012
"8","ovenbird",2012-05-07,8H 30M 0S,"North Pond",1,"Mason Fidino","Drizzle",2012
"9","northern flicker",2012-05-07,8H 30M 0S,"North Pond",2,"Mason Fidino","Drizzle",2012
"10","black capped chickadee",2012-05-07,8H 30M 0S,"North Pond",1,"Mason Fidino","Drizzle",2012
"11","red winged blackbird",2012-05-07,8H 30M 0S,"North Pond",8,"Mason Fidino","Drizzle",2012
"12","palm warbler",2012-05-07,8H 30M 0S,"North Pond",4,"Mason Fidino","Drizzle",2012
"13","american coot",2012-05-07,8H 30M 0S,"North Pond",1,"Mason Fidino","Drizzle",2012
"14","barn swallow",2012-05-07,8H 30M 0S,"North Pond",4,"Mason Fidino","Drizzle",2012
"15","common yellowthroat",2012-05-07,8H 30M 0S,"North Pond",1,"Mason Fidino","Drizzle",2012
"16","song sparrow",2012-05-07,8H 30M 0S,"North Pond",1,"Mason Fidino","Drizzle",2012
"17","black capped chickadee",2012-05-07,8H 30M 0S,"North Pond",1,"Mason Fidino","Drizzle",2012
"18","domestic goose",2012-05-07,8H 30M 0S,"North Pond",2,"Mason Fidino","Drizzle",2012
"19","american crow",2012-05-07,8H 30M 0S,"North Pond",2,"Marian Vernon","Drizzle",2012
"20","american robin",2012-05-07,8H 30M 0S,"North Pond",6,"Marian Vernon","Drizzle",2012
"21","canada goose",2012-05-07,8H 30M 0S,"North Pond",76,"Marian Vernon","Drizzle",2012
"22","common grackle",2012-05-07,8H 30M 0S,"North Pond",8,"Marian Vernon","Drizzle",2012
"23","european starling",2012-05-07,8H 30M 0S,"North Pond",6,"Marian Vernon","Drizzle",2012
"24","house sparrow",2012-05-07,8H 30M 0S,"North Pond",22,"Marian Vernon","Drizzle",2012
"25","mallard",2012-05-07,8H 30M 0S,"North Pond",45,"Marian Vernon","Drizzle",2012
"26","ring billed gull",2012-05-07,8H 30M 0S,"North Pond",11,"Marian Vernon","Drizzle",2012
"27","wood duck",2012-05-07,8H 30M 0S,"North Pond",18,"Marian Vernon","Drizzle",2012
"28","rock pigeon",2012-05-07,8H 30M 0S,"North Pond",4,"Marian Vernon","Drizzle",2012
"29","gray catbird",2012-05-07,9H 26M 0S,"Lily Pond",2,"Mason Fidino","Drizzle",2012
"30","red winged blackbird",2012-05-07,9H 26M 0S,"Lily Pond",1,"Mason Fidino","Drizzle",2012
"31","white crowned sparrow",2012-05-07,9H 26M 0S,"Lily Pond",1,"Mason Fidino","Drizzle",2012
"32","white throated sparrow",2012-05-07,9H 26M 0S,"Lily Pond",2,"Mason Fidino","Drizzle",2012
"33","yellow rumped warbler",2012-05-07,9H 26M 0S,"Lily Pond",2,"Mason Fidino","Drizzle",2012
"34","red winged blackbird",2012-05-07,9H 26M 0S,"Lily Pond",1,"Mason Fidino","Drizzle",2012
"35","pine warbler",2012-05-07,9H 26M 0S,"Lily Pond",1,"Mason Fidino","Drizzle",2012
"36","house sparrow",2012-05-07,9H 26M 0S,"Lily Pond",4,"Marian Vernon","Drizzle",2012
"37","mallard",2012-05-07,9H 26M 0S,"Lily Pond",6,"Marian Vernon","Drizzle",2012
"38","ring billed gull",2012-05-07,9H 26M 0S,"Lily Pond",1,"Marian Vernon","Drizzle",2012
"39","wood duck",2012-05-07,9H 26M 0S,"Lily Pond",1,"Marian Vernon","Drizzle",2012
"40","pine warbler",2012-05-07,9H 39M 0S,"Canal",2,"Mason Fidino","Drizzle",2012
"41","gray catbird",2012-05-07,9H 39M 0S,"Canal",1,"Mason Fidino","Drizzle",2012
"42","red winged blackbird",2012-05-07,9H 39M 0S,"Canal",1,"Mason Fidino","Drizzle",2012
"43","caspian tern",2012-05-07,9H 39M 0S,"Canal",2,"Mason Fidino","Drizzle",2012
"44","northern rough winged swallow",2012-05-07,9H 39M 0S,"Canal",2,"Mason Fidino","Drizzle",2012
"45","barn swallow",2012-05-07,9H 39M 0S,"Canal",1,"Mason Fidino","Drizzle",2012
"46","white crowned sparrow",2012-05-07,9H 39M 0S,"Canal",3,"Mason Fidino","Drizzle",2012
"47","white crowned sparrow",2012-05-07,9H 39M 0S,"Canal",1,"Mason Fidino","Drizzle",2012
"48","american robin",2012-05-07,9H 39M 0S,"Canal",3,"Marian Vernon","Drizzle",2012
"49","canada goose",2012-05-07,9H 39M 0S,"Canal",11,"Marian Vernon","Drizzle",2012
"50","common grackle",2012-05-07,9H 39M 0S,"Canal",16,"Marian Vernon","Drizzle",2012
"51","european starling",2012-05-07,9H 39M 0S,"Canal",3,"Marian Vernon","Drizzle",2012
"52","house sparrow",2012-05-07,9H 39M 0S,"Canal",7,"Marian Vernon","Drizzle",2012
"53","mallard",2012-05-07,9H 39M 0S,"Canal",5,"Marian Vernon","Drizzle",2012
"54","ring billed gull",2012-05-07,9H 39M 0S,"Canal",12,"Marian Vernon","Drizzle",2012
"55","rock pigeon",2012-05-07,9H 39M 0S,"Canal",10,"Marian Vernon","Drizzle",2012
"56","white crowned sparrow",2012-05-07,10H 7M 0S,"Lincoln Park Zoo",7,"Mason Fidino","Drizzle",2012
"57","yellow rumped warbler",2012-05-07,10H 7M 0S,"Lincoln Park Zoo",2,"Mason Fidino","Drizzle",2012
"58","white throated sparrow",2012-05-07,10H 7M 0S,"Lincoln Park Zoo",1,"Mason Fidino","Drizzle",2012
"59","common yellowthroat",2012-05-07,10H 7M 0S,"Lincoln Park Zoo",2,"Mason Fidino","Drizzle",2012
"60","red winged blackbird",2012-05-07,10H 7M 0S,"Lincoln Park Zoo",3,"Mason Fidino","Drizzle",2012
"61","american goldfinch",2012-05-07,10H 7M 0S,"Lincoln Park Zoo",2,"Mason Fidino","Drizzle",2012
"62","mourning dove",2012-05-07,10H 7M 0S,"Lincoln Park Zoo",2,"Mason Fidino","Drizzle",2012
"63","red winged blackbird",2012-05-07,10H 7M 0S,"Lincoln Park Zoo",3,"Mason Fidino","Drizzle",2012
"64","northern cardinal",2012-05-07,10H 7M 0S,"Lincoln Park Zoo",1,"Mason Fidino","Drizzle",2012
"65","house finch",2012-05-07,10H 7M 0S,"Lincoln Park Zoo",2,"Mason Fidino","Drizzle",2012
"66","american robin",2012-05-07,10H 7M 0S,"Lincoln Park Zoo",2,"Marian Vernon","Drizzle",2012
"67","canada goose",2012-05-07,10H 7M 0S,"Lincoln Park Zoo",2,"Marian Vernon","Drizzle",2012
"68","common grackle",2012-05-07,10H 7M 0S,"Lincoln Park Zoo",30,"Marian Vernon","Drizzle",2012
"69","european starling",2012-05-07,10H 7M 0S,"Lincoln Park Zoo",5,"Marian Vernon","Drizzle",2012
"70","house sparrow",2012-05-07,10H 7M 0S,"Lincoln Park Zoo",39,"Marian Vernon","Drizzle",2012
"71","mallard",2012-05-07,10H 7M 0S,"Lincoln Park Zoo",6,"Marian Vernon","Drizzle",2012
"72","ring billed gull",2012-05-07,10H 7M 0S,"Lincoln Park Zoo",16,"Marian Vernon","Drizzle",2012
"73","common grackle",2012-05-07,11H 45M 0S,"South of Conservatory",10,"Mason Fidino","Drizzle",2012
"74","american robin",2012-05-07,11H 45M 0S,"South of Conservatory",10,"Mason Fidino","Drizzle",2012
"75","palm warbler",2012-05-07,11H 45M 0S,"South of Conservatory",2,"Mason Fidino","Drizzle",2012
"76","european starling",2012-05-07,11H 45M 0S,"South of Conservatory",11,"Mason Fidino","Drizzle",2012
"77","gray catbird",2012-05-07,11H 45M 0S,"South of Conservatory",1,"Mason Fidino","Drizzle",2012
"78","white crowned sparrow",2012-05-07,11H 45M 0S,"South of Conservatory",2,"Mason Fidino","Drizzle",2012
"79","house sparrow",2012-05-07,11H 45M 0S,"South of Conservatory",7,"Mason Fidino","Drizzle",2012
"80","mallard",2012-05-07,11H 45M 0S,"South of Conservatory",6,"Mason Fidino","Drizzle",2012
"81","ring billed gull",2012-05-07,11H 45M 0S,"South of Conservatory",1,"Mason Fidino","Drizzle",2012
"82","magnolia warbler",2012-05-07,11H 45M 0S,"South of Conservatory",1,"Mason Fidino","Drizzle",2012
"83","black capped chickadee",2012-05-07,11H 45M 0S,"South of Conservatory",1,"Mason Fidino","Drizzle",2012
"84","canada goose",2012-05-07,11H 45M 0S,"South of Conservatory",2,"Mason Fidino","Drizzle",2012
"85","common grackle",2012-05-07,12H 0M 0S,"Nature Boardwalk",14,"Mason Fidino","Drizzle",2012
"86","song sparrow",2012-05-07,12H 0M 0S,"Nature Boardwalk",1,"Mason Fidino","Drizzle",2012
"87","song sparrow",2012-05-07,12H 0M 0S,"Nature Boardwalk",1,"Mason Fidino","Drizzle",2012
"88","house sparrow",2012-05-07,12H 0M 0S,"Nature Boardwalk",5,"Mason Fidino","Drizzle",2012
"89","canada goose",2012-05-07,12H 0M 0S,"Nature Boardwalk",48,"Mason Fidino","Drizzle",2012
"90","green heron",2012-05-07,12H 0M 0S,"Nature Boardwalk",1,"Mason Fidino","Drizzle",2012
"91","caspian tern",2012-05-07,12H 0M 0S,"Nature Boardwalk",1,"Mason Fidino","Drizzle",2012
"92","white throated sparrow",2012-05-07,12H 0M 0S,"Nature Boardwalk",1,"Mason Fidino","Drizzle",2012
"93","red winged blackbird",2012-05-07,12H 0M 0S,"Nature Boardwalk",5,"Mason Fidino","Drizzle",2012
"94","mallard",2012-05-07,12H 0M 0S,"Nature Boardwalk",11,"Mason Fidino","Drizzle",2012
"95","common yellowthroat",2012-05-07,12H 0M 0S,"Nature Boardwalk",1,"Mason Fidino","Drizzle",2012
"96","savannah sparrow",2012-05-07,12H 0M 0S,"Nature Boardwalk",1,"Mason Fidino","Drizzle",2012
"97","white crowned sparrow",2012-05-07,12H 0M 0S,"Nature Boardwalk",1,"Mason Fidino","Drizzle",2012
"98","palm warbler",2012-05-07,12H 0M 0S,"Nature Boardwalk",5,"Mason Fidino","Drizzle",2012
"99","american coot",2012-05-07,12H 0M 0S,"Nature Boardwalk",1,"Mason Fidino","Drizzle",2012
"100","ring billed gull",2012-05-07,12H 0M 0S,"Nature Boardwalk",2,"Mason Fidino","Drizzle",2012
"101","american robin",2012-05-07,12H 0M 0S,"Nature Boardwalk",2,"Mason Fidino","Drizzle",2012
"102","american crow",2012-05-07,12H 30M 0S,"South of Nature Boardwalk",7,"Mason Fidino","Drizzle",2012
"103","canada goose",2012-05-07,12H 30M 0S,"South of Nature Boardwalk",14,"Mason Fidino","Drizzle",2012
"104","mallard",2012-05-07,12H 30M 0S,"South of Nature Boardwalk",5,"Mason Fidino","Drizzle",2012
"105","american robin",2012-05-07,12H 30M 0S,"South of Nature Boardwalk",2,"Mason Fidino","Drizzle",2012
"106","rock pigeon",2012-05-07,12H 30M 0S,"South of Nature Boardwalk",97,"Mason Fidino","Drizzle",2012
"107","house sparrow",2012-05-07,12H 30M 0S,"South of Nature Boardwalk",50,"Mason Fidino","Drizzle",2012
"108","white throated sparrow",2012-05-07,12H 30M 0S,"South of Nature Boardwalk",1,"Mason Fidino","Drizzle",2012
"109","red winged blackbird",2012-05-07,12H 30M 0S,"South of Nature Boardwalk",2,"Mason Fidino","Drizzle",2012
"110","european starling",2012-05-07,12H 30M 0S,"South of Nature Boardwalk",17,"Mason Fidino","Drizzle",2012
"111","white crowned sparrow",2012-05-07,12H 30M 0S,"South of Nature Boardwalk",1,"Mason Fidino","Drizzle",2012
"112","downy woodpecker",2012-05-07,12H 30M 0S,"South of Nature Boardwalk",1,"Mason Fidino","Drizzle",2012
"113","house finch",2012-05-07,12H 30M 0S,"South of Nature Boardwalk",2,"Mason Fidino","Drizzle",2012
"114","gray catbird",2012-05-07,12H 30M 0S,"South of Nature Boardwalk",1,"Mason Fidino","Drizzle",2012
"115","blue gray gnatcatcher",2012-05-07,12H 30M 0S,"South of Nature Boardwalk",1,"Mason Fidino","Drizzle",2012
"116","american tree sparrow",2012-05-07,12H 30M 0S,"South of Nature Boardwalk",3,"Mason Fidino","Drizzle",2012
"117","ring billed gull",2012-05-07,12H 30M 0S,"South of Nature Boardwalk",9,"Mason Fidino","Drizzle",2012
"118","indigo bunting",2012-05-07,12H 30M 0S,"South of Nature Boardwalk",1,"Mason Fidino","Drizzle",2012
"119","canada goose",2012-05-08,10H 18M 0S,"Lily Pond",2,"Marian Vernon","Sunny",2012
"120","common grackle",2012-05-08,10H 18M 0S,"Lily Pond",3,"Marian Vernon","Sunny",2012
"121","green heron",2012-05-08,10H 18M 0S,"Lily Pond",1,"Marian Vernon","Sunny",2012
"122","mallard",2012-05-08,10H 18M 0S,"Lily Pond",6,"Marian Vernon","Sunny",2012
"123","ring billed gull",2012-05-08,10H 18M 0S,"Lily Pond",1,"Marian Vernon","Sunny",2012
"124","wood duck",2012-05-08,10H 18M 0S,"Lily Pond",2,"Marian Vernon","Sunny",2012
"125","red winged blackbird",2012-05-08,12H 1M 0S,"Lily Pond",1,"Mason Fidino","Sunny",2012
"126","common yellowthroat",2012-05-08,12H 1M 0S,"Lily Pond",1,"Mason Fidino","Sunny",2012
"127","magnolia warbler",2012-05-08,12H 1M 0S,"Lily Pond",1,"Mason Fidino","Sunny",2012
"128","gray catbird",2012-05-08,12H 1M 0S,"Lily Pond",1,"Mason Fidino","Sunny",2012
"129","blue jay",2012-05-08,12H 1M 0S,"Lily Pond",2,"Mason Fidino","Sunny",2012
"130","eastern wood pewee",2012-05-08,12H 1M 0S,"Lily Pond",2,"Mason Fidino","Sunny",2012
"131","caspian tern",2012-05-08,11H 32M 0S,"Canal",3,"Mason Fidino","Sunny",2012
"132","yellow rumped warbler",2012-05-08,11H 32M 0S,"Canal",4,"Mason Fidino","Sunny",2012
"133","warbling vireo",2012-05-08,11H 32M 0S,"Canal",1,"Mason Fidino","Sunny",2012
"134","palm warbler",2012-05-08,11H 32M 0S,"Canal",5,"Mason Fidino","Sunny",2012
"135","red winged blackbird",2012-05-08,11H 32M 0S,"Canal",3,"Mason Fidino","Sunny",2012
"136","warbling vireo",2012-05-08,11H 32M 0S,"Canal",1,"Mason Fidino","Sunny",2012
"137","american tree sparrow",2012-05-08,11H 32M 0S,"Canal",8,"Mason Fidino","Sunny",2012
"138","northern rough winged swallow",2012-05-08,11H 32M 0S,"Canal",3,"Mason Fidino","Sunny",2012
"139","white crowned sparrow",2012-05-08,11H 32M 0S,"Canal",5,"Mason Fidino","Sunny",2012
"140","american goldfinch",2012-05-08,11H 32M 0S,"Canal",3,"Mason Fidino","Sunny",2012
"141","white throated sparrow",2012-05-08,11H 32M 0S,"Canal",1,"Mason Fidino","Sunny",2012
"142","song sparrow",2012-05-08,11H 32M 0S,"Canal",2,"Mason Fidino","Sunny",2012
"143","cape may warbler",2012-05-08,11H 32M 0S,"Canal",1,"Mason Fidino","Sunny",2012
"144","red winged blackbird",2012-05-08,11H 32M 0S,"Canal",2,"Mason Fidino","Sunny",2012
"145","american crow",2012-05-08,11H 32M 0S,"Canal",1,"Lauren Bainbridge","Sunny",2012
"146","american robin",2012-05-08,11H 32M 0S,"Canal",6,"Lauren Bainbridge","Sunny",2012
"147","canada goose",2012-05-08,11H 32M 0S,"Canal",30,"Lauren Bainbridge","Sunny",2012
"148","common grackle",2012-05-08,11H 32M 0S,"Canal",7,"Lauren Bainbridge","Sunny",2012
"149","european starling",2012-05-08,11H 32M 0S,"Canal",28,"Lauren Bainbridge","Sunny",2012
"150","house sparrow",2012-05-08,11H 32M 0S,"Canal",15,"Lauren Bainbridge","Sunny",2012
"151","mallard",2012-05-08,11H 32M 0S,"Canal",4,"Lauren Bainbridge","Sunny",2012
"152","ring billed gull",2012-05-08,11H 32M 0S,"Canal",9,"Lauren Bainbridge","Sunny",2012
"153","rock pigeon",2012-05-08,11H 32M 0S,"Canal",21,"Lauren Bainbridge","Sunny",2012
"154","orange crowned warbler",2012-05-08,10H 52M 0S,"Lincoln Park Zoo",1,"Mason Fidino","Sunny",2012
"155","northern rough winged swallow",2012-05-08,10H 52M 0S,"Lincoln Park Zoo",1,"Mason Fidino","Sunny",2012
"156","american goldfinch",2012-05-08,10H 52M 0S,"Lincoln Park Zoo",1,"Mason Fidino","Sunny",2012
"157","red winged blackbird",2012-05-08,10H 52M 0S,"Lincoln Park Zoo",1,"Mason Fidino","Sunny",2012
"158","american tree sparrow",2012-05-08,10H 52M 0S,"Lincoln Park Zoo",1,"Mason Fidino","Sunny",2012
"159","white crowned sparrow",2012-05-08,10H 52M 0S,"Lincoln Park Zoo",2,"Mason Fidino","Sunny",2012
"160","black and white warbler",2012-05-08,10H 52M 0S,"Lincoln Park Zoo",1,"Mason Fidino","Sunny",2012
"161","american crow",2012-05-08,10H 53M 0S,"Lincoln Park Zoo",5,"Lauren Bainbridge","Sunny",2012
"162","american robin",2012-05-08,10H 53M 0S,"Lincoln Park Zoo",5,"Lauren Bainbridge","Sunny",2012
"163","black crowned night heron",2012-05-08,10H 53M 0S,"Lincoln Park Zoo",4,"Lauren Bainbridge","Sunny",2012
"164","canada goose",2012-05-08,10H 53M 0S,"Lincoln Park Zoo",4,"Lauren Bainbridge","Sunny",2012
"165","common grackle",2012-05-08,10H 53M 0S,"Lincoln Park Zoo",26,"Lauren Bainbridge","Sunny",2012
"166","european starling",2012-05-08,10H 53M 0S,"Lincoln Park Zoo",10,"Lauren Bainbridge","Sunny",2012
"167","house sparrow",2012-05-08,10H 53M 0S,"Lincoln Park Zoo",64,"Lauren Bainbridge","Sunny",2012
"168","mallard",2012-05-08,10H 53M 0S,"Lincoln Park Zoo",11,"Lauren Bainbridge","Sunny",2012
"169","ring billed gull",2012-05-08,10H 53M 0S,"Lincoln Park Zoo",22,"Lauren Bainbridge","Sunny",2012
"170","wood duck",2012-05-08,10H 53M 0S,"Lincoln Park Zoo",2,"Lauren Bainbridge","Sunny",2012
"171","red winged blackbird",2012-05-08,12H 20M 0S,"North Pond",8,"Mason Fidino","Sunny",2012
"172","red winged blackbird",2012-05-08,12H 20M 0S,"North Pond",10,"Mason Fidino","Sunny",2012
"173","white throated sparrow",2012-05-08,12H 20M 0S,"North Pond",1,"Mason Fidino","Sunny",2012
"174","song sparrow",2012-05-08,12H 20M 0S,"North Pond",3,"Mason Fidino","Sunny",2012
"175","american coot",2012-05-08,12H 20M 0S,"North Pond",1,"Mason Fidino","Sunny",2012
"176","warbling vireo",2012-05-08,12H 20M 0S,"North Pond",1,"Mason Fidino","Sunny",2012
"177","yellow rumped warbler",2012-05-08,12H 20M 0S,"North Pond",1,"Mason Fidino","Sunny",2012
"178","caspian tern",2012-05-08,12H 20M 0S,"North Pond",1,"Mason Fidino","Sunny",2012
"179","northern flicker",2012-05-08,12H 20M 0S,"North Pond",1,"Mason Fidino","Sunny",2012
"180","palm warbler",2012-05-08,12H 20M 0S,"North Pond",1,"Mason Fidino","Sunny",2012
"181","gray catbird",2012-05-08,12H 20M 0S,"North Pond",1,"Mason Fidino","Sunny",2012
"182","domestic goose",2012-05-08,12H 20M 0S,"North Pond",2,"Mason Fidino","Sunny",2012
"183","american crow",2012-05-08,11H 19M 0S,"North Pond",1,"Marian Vernon","Sunny",2012
"184","american robin",2012-05-08,11H 19M 0S,"North Pond",10,"Marian Vernon","Sunny",2012
"185","black crowned night heron",2012-05-08,11H 19M 0S,"North Pond",1,"Marian Vernon","Sunny",2012
"186","canada goose",2012-05-08,11H 19M 0S,"North Pond",59,"Marian Vernon","Sunny",2012
"187","common grackle",2012-05-08,11H 19M 0S,"North Pond",7,"Marian Vernon","Sunny",2012
"188","european starling",2012-05-08,11H 19M 0S,"North Pond",64,"Marian Vernon","Sunny",2012
"189","house sparrow",2012-05-08,11H 19M 0S,"North Pond",6,"Marian Vernon","Sunny",2012
"190","mallard",2012-05-08,11H 19M 0S,"North Pond",96,"Marian Vernon","Sunny",2012
"191","ring billed gull",2012-05-08,11H 19M 0S,"North Pond",4,"Marian Vernon","Sunny",2012
"192","wood duck",2012-05-08,11H 19M 0S,"North Pond",42,"Marian Vernon","Sunny",2012
"193","rock pigeon",2012-05-08,11H 19M 0S,"North Pond",4,"Marian Vernon","Sunny",2012
"194","cooper's hawk",2012-05-08,10H 12M 0S,"South of Conservatory",1,"Mason Fidino","Sunny",2012
"195","ovenbird",2012-05-08,10H 12M 0S,"South of Conservatory",1,"Mason Fidino","Sunny",2012
"196","yellow rumped warbler",2012-05-08,10H 12M 0S,"South of Conservatory",1,"Mason Fidino","Sunny",2012
"197","warbling vireo",2012-05-08,10H 12M 0S,"South of Conservatory",1,"Mason Fidino","Sunny",2012
"198","american crow",2012-05-08,10H 12M 0S,"South of Conservatory",2,"Lauren Bainbridge","Sunny",2012
"199","american robin",2012-05-08,10H 12M 0S,"South of Conservatory",5,"Lauren Bainbridge","Sunny",2012
"200","common grackle",2012-05-08,10H 12M 0S,"South of Conservatory",14,"Lauren Bainbridge","Sunny",2012
"201","european starling",2012-05-08,10H 12M 0S,"South of Conservatory",7,"Lauren Bainbridge","Sunny",2012
"202","house sparrow",2012-05-08,10H 12M 0S,"South of Conservatory",3,"Lauren Bainbridge","Sunny",2012
"203","red winged blackbird",2012-05-08,9H 17M 0S,"Nature Boardwalk",11,"Mason Fidino","Sunny",2012
"204","white throated sparrow",2012-05-08,9H 17M 0S,"Nature Boardwalk",1,"Mason Fidino","Sunny",2012
"205","white throated sparrow",2012-05-08,9H 17M 0S,"Nature Boardwalk",1,"Mason Fidino","Sunny",2012
"206","common yellowthroat",2012-05-08,9H 17M 0S,"Nature Boardwalk",1,"Mason Fidino","Sunny",2012
"207","warbling vireo",2012-05-08,9H 17M 0S,"Nature Boardwalk",1,"Mason Fidino","Sunny",2012
"208","song sparrow",2012-05-08,9H 17M 0S,"Nature Boardwalk",1,"Mason Fidino","Sunny",2012
"209","ruby throated hummingbird",2012-05-08,9H 17M 0S,"Nature Boardwalk",1,"Mason Fidino","Sunny",2012
"210","palm warbler",2012-05-08,9H 17M 0S,"Nature Boardwalk",1,"Mason Fidino","Sunny",2012
"211","american coot",2012-05-08,9H 17M 0S,"Nature Boardwalk",2,"Mason Fidino","Sunny",2012
"212","gray catbird",2012-05-08,9H 17M 0S,"Nature Boardwalk",1,"Mason Fidino","Sunny",2012
"213","canada goose",2012-05-08,9H 16M 0S,"Nature Boardwalk",44,"Marian Vernon","Sunny",2012
"214","common grackle",2012-05-08,9H 16M 0S,"Nature Boardwalk",3,"Marian Vernon","Sunny",2012
"215","european starling",2012-05-08,9H 16M 0S,"Nature Boardwalk",4,"Marian Vernon","Sunny",2012
"216","green heron",2012-05-08,9H 16M 0S,"Nature Boardwalk",2,"Marian Vernon","Sunny",2012
"217","house sparrow",2012-05-08,9H 16M 0S,"Nature Boardwalk",8,"Marian Vernon","Sunny",2012
"218","mallard",2012-05-08,9H 16M 0S,"Nature Boardwalk",21,"Marian Vernon","Sunny",2012
"219","ring billed gull",2012-05-08,9H 16M 0S,"Nature Boardwalk",4,"Marian Vernon","Sunny",2012
"220","cedar waxwing",2012-05-08,8H 33M 0S,"South of Nature Boardwalk",2,"Mason Fidino","Sunny",2012
"221","blue jay",2012-05-08,8H 33M 0S,"South of Nature Boardwalk",2,"Mason Fidino","Sunny",2012
"222","downy woodpecker",2012-05-08,8H 33M 0S,"South of Nature Boardwalk",1,"Mason Fidino","Sunny",2012
"223","palm warbler",2012-05-08,8H 33M 0S,"South of Nature Boardwalk",3,"Mason Fidino","Sunny",2012
"224","white crowned sparrow",2012-05-08,8H 33M 0S,"South of Nature Boardwalk",1,"Mason Fidino","Sunny",2012
"225","palm warbler",2012-05-08,8H 33M 0S,"South of Nature Boardwalk",2,"Mason Fidino","Sunny",2012
"226","white crowned sparrow",2012-05-08,8H 33M 0S,"South of Nature Boardwalk",10,"Mason Fidino","Sunny",2012
"227","gray catbird",2012-05-08,8H 33M 0S,"South of Nature Boardwalk",1,"Mason Fidino","Sunny",2012
"228","white throated sparrow",2012-05-08,8H 33M 0S,"South of Nature Boardwalk",1,"Mason Fidino","Sunny",2012
"229","american redstart",2012-05-08,8H 33M 0S,"South of Nature Boardwalk",1,"Mason Fidino","Sunny",2012
"230","magnolia warbler",2012-05-08,8H 33M 0S,"South of Nature Boardwalk",1,"Mason Fidino","Sunny",2012
"231","american tree sparrow",2012-05-08,8H 33M 0S,"South of Nature Boardwalk",4,"Mason Fidino","Sunny",2012
"232","field sparrow",2012-05-08,8H 33M 0S,"South of Nature Boardwalk",1,"Mason Fidino","Sunny",2012
"233","hermit thrush",2012-05-08,8H 33M 0S,"South of Nature Boardwalk",1,"Mason Fidino","Sunny",2012
"234","blue gray gnatcatcher",2012-05-08,8H 33M 0S,"South of Nature Boardwalk",1,"Mason Fidino","Sunny",2012
