"species","year","daySeen","observer"
"American Robin",1898,62,"Walter"
"Common Grackle",1898,57,"Walter"
"Blue Jay",1898,49,"Walter"
"Brown-headed Cowbird",1898,41,"Walter"
"Dark-eyed Junco",1898,33,"Walter"
"Eastern Towhee",1898,35,"Walter"
"Song Sparrow",1898,27,"Walter"
"Northern Flicker",1898,29,"Walter"
"Ruby-crowned Kinglet",1898,31,"Walter"
"White-throated Sparrow",1898,30,"Walter"
"Eastern Bluebird",1898,26,"Walter"
"Veery",1898,34,"Walter"
"Yellow-bellied Sapsucker",1898,23,"Walter"
"Yellow Warbler",1898,27,"Walter"
"Belted Kingfisher",1898,25,"Walter"
"Red-headed Woodpecker",1898,23,"Walter"
"Yellow-rumped Warbler",1898,19,"Walter"
"Brown Thrasher",1898,27,"Walter"
"Brown Creeper",1898,18,"Walter"
"Gray Catbird",1898,22,"Walter"
"Golden-crowned Kinglet",1898,18,"Walter"
"Chipping Sparrow",1898,25,"Walter"
"American Goldfinch",1898,21,"Walter"
"Tree Swallow",1898,13,"Walter"
"American Redstart",1898,18,"Walter"
"Barn Swallow",1898,15,"Walter"
"Fox Sparrow",1898,11,"Walter"
"Chimney Swift",1898,16,"Walter"
"Blue-gray Gnatcatcher",1898,18,"Walter"
"White-crowned Sparrow",1898,9,"Walter"
"Palm Warbler",1898,8,"Walter"
"Hermit Thrush",1898,13,"Walter"
"Black-and-white Warbler",1898,15,"Walter"
"Least Flycatcher",1898,18,"Walter"
"Magnolia Warbler",1898,13,"Walter"
"Black-throated Blue Warbler",1898,12,"Walter"
"Swainson's Thrush",1898,8,"Walter"
"Eastern Phoebe",1898,15,"Walter"
"Baltimore Oriole",1898,18,"Walter"
"Northern Waterthrush",1898,17,"Walter"
"Field Sparrow",1898,0,"Walter"
"Swamp Sparrow",1898,4,"Walter"
"American Crow",1898,4,"Walter"
"Chestnut-sided Warbler",1898,11,"Walter"
"Ovenbird",1898,9,"Walter"
"White-breasted Nuthatch",1898,12,"Walter"
"Common Yellowthroat",1898,18,"Walter"
