"ID","BooksCommonName","BooksLatinName","ModernLatinName(ifDifferent)","SurveyedIn","ConservationStatus:2012","Migration","BuildsNest","TypeOfNest","Diet","Family","ModernName","Order","Waterfowl?","SeenToday"
1,"Blue Jay","Cyanocitta cristata",,"1890s & 2012","Least Concern","Year round","Tree","Cup","omnivore","Corvidae","Blue Jay","Passeriformes",0,0
2,"Bronzed Grackle","Quiscalus quiscula",,"1890s & 2012","Least Concern","Year round","Tree or building","Cup","omnivore","Icteridae","Common Grackle","Passeriformes",0,1
3,"Loggerhead shrike","Lanius ludovicianus",,"1890s","Least Concern","Summer (breeding)","Shrub or tree","Cup","carnivore","Laniidae","Loggerhead Shrike","Passeriformes",0,0
4,"Robin","Merula migratoria","Turdis migratorius","1890s & 2012","Least Concern","Year round","tree or building","Cup","omnivore","Turdidae","American Robin","Passeriformes",0,1
5,"Junco","Junco hiemalis","Junco hyemalis","1890s","Least Concern","Winter (non-breeding)","ground","Cup","omnivore","Emberizidae","Dark-eyed Junco","Passeriformes",0,0
6,"Meadowlark","Sturnella magna",,"1890s & 2012","Least Concern","Year round","ground","Cup","omnivore","Icteridae","Eastern Meadowlark","Passeriformes",0,0
7,"Crow","Corvus americanus","Corvus brachyrynchos","1890s & 2012","Least Concern","Year round","Tree","Cup","omnivore","Corvidae","American Crow","Passeriformes",0,1
8,"Bluebird","Sialia sialis",,"1890s","Least Concern","Summer (breeding)","Tree","Cavity","omnivore","Turdidae","Eastern Bluebird","Passeriformes",0,1
9,"Savanna Sparrow","Passerculus sandwichensis",,"1890s & 2012","Least Concern","Summer (breeding)","ground","Cup","omnivore","Emberizidae","Savannah Sparrow","Passeriformes",0,1
10,"Song Sparrow","Melospiza cinerea","Melospiza melodia","1890s & 2012","Least Concern","Year round","shrub","Cup","omnivore","Emberizidae","Song Sparrow","Passeriformes",0,0
11,"Cowbird","Molothrus ater",,"1890s & 2012","Least Concern","Year round",,"Nest Parasite","omnivore","Icteridae","Brown-headed Cowbird","Passeriformes",0,0
