"","CommonName","Year","ArrivalDate","ob","ArrivalDateJulian"
"1","mourning dove","1903",1903-04-01,"Walter",91
"2","northern harrier","1899",1899-04-25,"Walter",115
"3","american kestrel","1898",1898-05-18,"Walter",138
"4","yellow billed cuckoo","1898",1898-05-19,"Walter",139
"5","black billed cuckoo","1899",1899-05-27,"Walter",147
"6","belted kingfisher","1897",1897-03-28,"Walter",87
"7","hairy woodpecker","1898",1898-04-11,"Walter",101
"8","downy woodpecker","1897",1897-04-07,"Walter",97
"9","yellow bellied sapsucker","1897",1897-04-25,"Walter",115
"10","red bellied woodpecker","1898",1898-05-22,"Walter",142
"11","red headed woodpecker","1897",1897-04-26,"Walter",116
"12","northern flicker","1897",1897-04-15,"Walter",105
"13","eastern whip poor will","1898",1898-05-21,"Walter",141
"14","common nighthawk","1899",1899-05-10,"Walter",130
"15","chimney swift","1897",1897-05-01,"Walter",121
"16","ruby throated hummingbird","1898",1898-05-19,"Walter",139
"17","eastern kingbird","1897",1897-04-29,"Walter",119
"18","great crested flycatcher","1898",1898-05-03,"Walter",123
"19","eastern phoebe","1897",1897-04-07,"Walter",97
"20","eastern wood pewee","1897",1897-04-27,"Walter",117
"21","yellow bellied flycatcher","1900",1900-04-29,"Walter",119
"22","least flycatcher","1897",1897-05-12,"Walter",132
"24","american crow","1898",1898-03-09,"Walter",68
"25","bobolink","1898",1898-05-14,"Walter",134
"26","brown headed cowbird","1897",1897-04-04,"Walter",94
"27","yellow headed blackbird","1901",1901-05-17,"Walter",137
"28","red winged blackbird","1898",1898-05-07,"Walter",127
"29","eastern meadowlark","1898",1898-03-14,"Walter",73
"30","orchard oriole","1898",1898-05-15,"Walter",135
"31","baltimore oriole","1898",1898-04-30,"Walter",120
"32","rusty blackbird","1900",1900-04-19,"Walter",109
"33","common grackle","1897",1897-03-29,"Walter",88
"34","purple finch","1898",1898-04-24,"Walter",114
"35","american goldfinch","1897",1897-04-25,"Walter",115
"36","vesper sparrow","1900",1900-04-22,"Walter",112
"37","savannah sparrow","1903",1903-03-19,"Walter",78
"38","henslows sparrow","1898",1898-04-29,"Walter",119
"39","white crowned sparrow","1897",1897-05-05,"Walter",125
"40","white throated sparrow","1897",1897-04-26,"Walter",116
"41","american tree sparrow","1900",1900-04-06,"Walter",96
"42","chipping sparrow","1897",1897-04-15,"Walter",105
"43","field sparrow","1899",1899-04-23,"Walter",113
"44","dark eyed junco","1897",1897-03-28,"Walter",87
"45","song sparrow","1897",1897-04-08,"Walter",98
"46","lincolns sparrow","1900",1900-05-10,"Walter",130
"47","swamp sparrow","1898",1898-05-07,"Walter",127
"48","fox sparrow","1897",1897-04-08,"Walter",98
"49","eastern towhee","1897",1897-04-07,"Walter",97
"50","northern cardinal","1897",1897-03-28,"Walter",87
"51","rose breasted grosbeak","1899",1899-05-10,"Walter",130
"52","indigo bunting","1898",1898-05-14,"Walter",134
"53","dickcissel","1901",1901-05-16,"Walter",136
"54","scarlet tanager","1898",1898-05-14,"Walter",134
"55","summer tanager","1899",1899-05-04,"Walter",124
"56","purple martin","1898",1898-05-25,"Walter",145
"57","barn swallow","1897",1897-04-18,"Walter",108
"58","tree swallow","1898",1898-05-11,"Walter",131
"59","cedar waxwing","1898",1898-04-11,"Walter",101
"60","loggerhead shrike","1898",1898-03-14,"Walter",73
"61","red eyed vireo","1898",1898-05-10,"Walter",130
"62","warbling vireo","1897",1897-04-27,"Walter",117
"63","yellow throated vireo","1898",1898-05-01,"Walter",121
"64","blue headed vireo","1900",1900-05-17,"Walter",137
"65","black and white warbler","1897",1897-04-28,"Walter",118
"66","prothonotary warbler","1899",1899-05-16,"Walter",136
"67","golden winged warbler","1898",1898-05-14,"Walter",134
"68","nashville warbler","1898",1898-05-10,"Walter",130
"69","tennessee warbler","1898",1898-05-11,"Walter",131
"70","northern parula","1898",1898-05-11,"Walter",131
"71","cape may warbler","1898",1898-05-13,"Walter",133
"72","yellow warbler","1897",1897-05-11,"Walter",131
"73","black throated blue warbler","1897",1897-05-11,"Walter",131
"74","yellow rumped warbler","1897",1897-04-14,"Walter",104
"75","magnolia warbler","1897",1897-04-26,"Walter",116
"76","cerulean warbler","1900",1900-05-12,"Walter",132
"77","chestnut sided warbler","1897",1897-05-21,"Walter",141
"78","bay breasted warbler","1898",1898-05-20,"Walter",140
"79","blackpoll warbler","1898",1898-05-19,"Walter",139
"80","blackburnian warbler","1897",1897-05-12,"Walter",132
"81","black throated green warbler","1897",1897-04-18,"Walter",108
"82","pine warbler","1900",1900-04-26,"Walter",116
"83","palm warbler","1898",1898-04-29,"Walter",119
"84","ovenbird","1897",1897-05-11,"Walter",131
"85","northern waterthrush","1898",1898-04-30,"Walter",120
"86","louisiana waterthrush","1902",1902-04-27,"Walter",117
"87","connecticut warbler","1903",1903-05-20,"Walter",140
"88","mourning warbler","1898",1898-05-20,"Walter",140
"89","common yellowthroat","1897",1897-04-26,"Walter",116
"90","yellow breasted chat","1902",1902-05-02,"Walter",122
"91","hooded warbler","1903",1903-05-12,"Walter",132
"92","wilson black cap warbler","1897",1897-05-21,"Walter",141
"93","canada warbler","1898",1898-05-19,"Walter",139
"94","american redstart","1897",1897-05-11,"Walter",131
"95","northern mockingbird","1901",1901-04-29,"Walter",119
"96","gray catbird","1897",1897-04-26,"Walter",116
"97","brown thrasher","1897",1897-04-26,"Walter",116
"98","house wren","1897",1897-04-14,"Walter",104
"99","winter wren","1897",1897-04-08,"Walter",98
"100","marsh wren","1898",1898-04-14,"Walter",104
"101","brown creeper","1897",1897-04-07,"Walter",97
"102","white breasted nuthatch","1897",1897-04-07,"Walter",97
"103","red breasted nuthatch","1900",1900-05-03,"Walter",123
"104","black capped chickadee","1898",1898-04-01,"Walter",91
"105","golden crowned kinglet","1897",1897-04-07,"Walter",97
"106","ruby crowned kinglet","1897",1897-04-14,"Walter",104
"107","blue gray gnatcatcher","1898",1898-04-25,"Walter",115
"108","wood thrush","1897",1897-04-18,"Walter",108
"109","veery","1897",1897-05-11,"Walter",131
"110","gray cheeked thrush","1902",1902-05-21,"Walter",141
"111","olive backed thrush","1898",1898-05-01,"Walter",121
"112","hermit thrush","1898",1898-03-31,"Walter",90
"113","american robin","1897",1897-03-28,"Walter",87
"114","eastern bluebird","1897",1897-03-28,"Walter",87
"115","mourning dove","1898",1898-05-09,"Walter",129
"116","mourning dove","1899",1899-03-25,"Walter",84
"117","mourning dove","1900",1900-04-06,"Walter",96
"118","mourning dove","1901",1901-04-10,"Walter",100
"119","mourning dove","1902",1902-04-26,"Walter",116
"120","yellow throated vireo","1900",1900-05-12,"Walter",132
"121","yellow throated vireo","1901",1901-05-05,"Walter",125
"122","yellow throated vireo","1902",1902-04-28,"Walter",118
"123","yellow throated vireo","1903",1903-05-12,"Walter",132
"124","yellow breasted chat","1903",1903-05-11,"Walter",131
"125","yellow billed cuckoo","1899",1899-05-01,"Walter",121
"126","yellow billed cuckoo","1900",1900-05-16,"Walter",136
"127","yellow billed cuckoo","1901",1901-05-17,"Walter",137
"128","yellow billed cuckoo","1902",1902-05-17,"Walter",137
"129","yellow billed cuckoo","1903",1903-05-12,"Walter",132
"130","yellow bellied sapsucker","1898",1898-03-30,"Walter",89
"131","yellow bellied sapsucker","1899",1899-04-08,"Walter",98
"132","yellow bellied sapsucker","1900",1900-04-06,"Walter",96
"133","yellow bellied sapsucker","1901",1901-03-19,"Walter",78
"134","yellow bellied sapsucker","1902",1902-03-27,"Walter",86
"135","yellow bellied sapsucker","1903",1903-04-01,"Walter",91
"136","yellow bellied flycatcher","1902",1902-05-01,"Walter",121
"137","yellow bellied flycatcher","1903",1903-05-12,"Walter",132
"138","yellow warbler","1898",1898-04-30,"Walter",120
"139","yellow warbler","1899",1899-04-29,"Walter",119
"140","yellow warbler","1900",1900-04-30,"Walter",120
"141","yellow warbler","1901",1901-05-06,"Walter",126
"142","yellow warbler","1902",1902-05-02,"Walter",122
"143","yellow warbler","1903",1903-04-29,"Walter",119
"144","wood thrush","1898",1898-05-03,"Walter",123
"145","wood thrush","1899",1899-05-01,"Walter",121
"146","wood thrush","1901",1901-05-04,"Walter",124
"147","wood thrush","1902",1902-04-29,"Walter",119
"148","wood thrush","1903",1903-05-12,"Walter",132
"149","eastern wood pewee","1898",1898-05-19,"Walter",139
"150","eastern wood pewee","1899",1899-05-10,"Walter",130
