"ModernName","Date"
"common goldeneye",1927-03-06
"common merganser",1927-03-06
"herring gull",1927-03-06
"lesser scaup",1927-03-06
"long-tailed duck",1927-03-06
"red-winged blackbird",1927-03-06
"american crow",1927-03-13
"american robin",1927-03-13
"american tree sparrow",1927-03-13
"common goldeneye",1927-03-13
"common grackle",1927-03-13
"dark-eyed junco",1927-03-13
"eastern bluebird",1927-03-13
"eastern meadowlark",1927-03-13
"fox sparrow",1927-03-13
"herring gull",1927-03-13
"lesser scaup",1927-03-13
"long-tailed duck",1927-03-13
"red-breasted merganser",1927-03-13
"song sparrow",1927-03-13
"american robin",1927-03-20
"bonaparte's gull",1927-03-20
"brown creeper",1927-03-20
"common goldeneye",1927-03-20
"common grackle",1927-03-20
"dark-eyed junco",1927-03-20
"herring gull",1927-03-20
"long-tailed duck",1927-03-20
"red-winged blackbird",1927-03-20
"song sparrow",1927-03-20
"swamp sparrow",1927-03-20
"american robin",1927-03-27
"bonaparte's gull",1927-03-27
"common goldeneye",1927-03-27
"common grackle",1927-03-27
"dark-eyed junco",1927-03-27
"field sparrow",1927-03-27
"herring gull",1927-03-27
"lesser scaup",1927-03-27
"long-tailed duck",1927-03-27
"red-breasted merganser",1927-03-27
"song sparrow",1927-03-27
"american robin",1927-04-03
"bonaparte's gull",1927-04-03
"common goldeneye",1927-04-03
"common grackle",1927-04-03
"dark-eyed junco",1927-04-03
"herring gull",1927-04-03
"lesser scaup",1927-04-03
"long-tailed duck",1927-04-03
"red-breasted merganser",1927-04-03
"song sparrow",1927-04-03
"swamp sparrow",1927-04-03
"american robin",1927-04-10
"bonaparte's gull",1927-04-10
"brown-headed cowbird",1927-04-10
"brown creeper",1927-04-10
"common goldeneye",1927-04-10
"common grackle",1927-04-10
"dark-eyed junco",1927-04-10
"eastern towhee",1927-04-10
"fox sparrow",1927-04-10
"golden-crowned kinglet",1927-04-10
"herring gull",1927-04-10
"lesser scaup",1927-04-10
"long-tailed duck",1927-04-10
"red-breasted merganser",1927-04-10
"song sparrow",1927-04-10
"vesper sparrow",1927-04-10
"american robin",1927-04-17
"bonaparte's gull",1927-04-17
"brown thrasher",1927-04-17
"common grackle",1927-04-17
"common loon",1927-04-17
"dark-eyed junco",1927-04-17
"eastern bluebird",1927-04-17
