Northern Bobwhite (Colinus virginianus) medium low medium high high —0.3061
Mourning Dove (Zenaida macroura) high medium medium — high high 0.0031
Yellow-billed Cuckoo (Coccyzus americanus) low low high low high —0.1989
Chimney Swift (Chaetura pelagica) medium high high medium medium 0.3443
Ruby-throated Hummingbird (Archilochus colubris) low low high low medium 0.3442
Killdeer (Charadrius vociferus) high medium low medium high 0.1715
Upland Sandpiper (Bartramia longicauda) high low low high low —0.5105
Red-tailed Hawk (Buteo jamaicensis) medium low medium high medium 0.2631
Red-headed Woodpecker (Melanerpes erythrocephalus) medium medium _ high medium medium —0.2643
Red-bellied Woodpecker (Melanerpes carolinus) low low high low high 0.2454
Downy Woodpecker (Picoides pubescens) low medium high low high 0.1274
Hairy Woodpecker (Picoides villosus) low low high low medium 0.2747
Northern Flicker (Colaptes auratus) medium high high medium high —0.0943
Eastern Wood-Pewee (Contopus virens) low low high low low 0.325
Acadian Flycatcher (Empidonax virescens) low low high low low —0.0257
Eastern Phoebe (Sayornis phoebe) medium high medium low medium 0.2906
Great Crested Flycatcher (Myiarchus crinitus) low low high low low —0.0831
Eastern Kingbird (Tyrannus tyrannus) medium medium medium — high high —0.1322
Loggerhead Shrike (Lanius ludovicianus) medium low low high high —0.297
White-eyed Vireo (Vireo griseus) low low low low high 0.0947
Red-eyed Vireo (Vireo olivaceus) low low high low low —0.0268
Blue Jay (Cyanocitta cristata) low medium high low low —0.0934
American Crow (Corvus brachyrhychos) high medium high high high —0.1965
Horned Lark (Eremophila alpestris) high low low medium low 0.0808
Purple Martin (Progne subis) medium high medium medium medium —0.1672
Tree Swallow (Tachycineta bicolor) medium medium medium — high high 0.2992
N. Rough-winged Swallow (Stelgidopteryx serripennis) medium low low medium medium 0.5309
Barn Swallow (Hirundo rustica) high high high high high 0.503
Carolina Chickadee (Poecile carolinensis) low low high low low 0.2462
Black-capped Chickadee (Poecile atricapillus) low low high low low 0.3568
Tufted Titmouse (Baeolophus bicolor) low low high low low 0.0985
White-breasted Nuthatch (Sitta carolinensis) low low high low low 0.4633
House Wren (Troglodytes aedon) low high high low medium 0.4696
Carolina Wren (Thryothorus ludovicianus) low low high low low 0.0865
Blue-gray Gnatcatcher (Polioptila caerulea) low low high low low 0.6162
Eastern Bluebird (Sialia sialis) high medium medium — high high 0.0114
Wood Thrush (Hylocichla mustelina) low low high low low 0.033
American Robin (Turdus migratorius) high high high high high 0.0599
Gray Catbird (Dumetella carolinensis) low medium high medium high 0.1325
Brown Thrasher (Toxostoma rufum) low low low medium high —0.2262
Northern Mockingbird (Mimus polyglottos) low high low low medium —0.2461
Cedar Waxwing (Bombycilla cedrorum) low medium high medium medium 0.4548
American Goldfinch (Spinus tristis) high high high high high 0.1796
Eastern Towhee (Pipilo erythrophthalmus) low low high low high —0.1844
Chipping Sparrow (Spizella passerina) medium medium medium — high high 0.317
Field Sparrow (Spizella pusilla) medium low low high high —0.0386
Vesper Sparrow (Pooecetes gramineus) high low low high low 0.1989
Lark Sparrow (Chondestes grammacus) medium low low high medium —0.2742
Savannah Sparrow (Passerculus sandwichensis) low low low high medium 0.1224
Grasshopper Sparrow (Ammodramus savannarum) medium low low high low —0.2014
Song Sparrow (Melospiza melodia) medium medium medium _ high high 0.1582
Yellow-breasted Chat (/cteria virens) low low low low high —0.0292
Bobolink (Dolichonyx oryzivorus) low low low high low 0.2263
Eastern Meadowlark (Sturnella magna) high low low high medium —0.0494
Orchard Oriole (/cterus spurius) low low high medium high —0.1387
Baltimore Oriole (Icterus galbula) low medium high medium high —0.0568
Red-winged Blackbird (Agelaius phoeniceus) high low low high high 0.0637
Brown-headed Cowbird (Molothrus ater) high low medium high high 0.1439
Common Grackle (Quiscalus quiscula) high high medium high high 0.0695
Kentucky Warbler (Geothlypis formosa) low low high low low 0.3772
Common Yellowthroat (Geothlypis trichas) low low medium high high —0.0181
Yellow Warbler (Setophaga petechia) low high high high high 0.3144
Summer Tanager (Piranga rubra) low low high low high 0.2149
Northern Cardinal (Cardinalis cardinalis) low medium high low high 0.1192
Indigo Bunting (Passerina cyanea) low low high low medium 0.1369
Dickcissel (Spiza americana) medium low low high medium —0.0755
