"SP","SPEC","CONF","COMMONNAME","SCINAME","SPEC6","CONF6","lowername"
NA,"HITI",NA,"Highland Tinamou","Nothocercus bonapartei","NOTBON",NA,"highland tinamou"
NA,"GRTI",NA,"Great Tinamou","Tinamus major","TINMAJ",NA,"great tinamou"
NA,"LITI",NA,"Little Tinamou","Crypturellus soui","CRYSOU",NA,"little tinamou"
NA,"THTI",NA,"Thicket Tinamou","Crypturellus cinnamomeus","CRYCIN",NA,"thicket tinamou"
NA,"SBTI",NA,"Slaty-breasted Tinamou","Crypturellus boucardi","CRYBOU",NA,"slaty breasted tinamou"
NA,"CHTI",NA,"Choco Tinamou","Crypturellus kerriae","CRYKER",NA,"choco tinamou"
NA,"WFWD",NA,"White-faced Whistling-Duck","Dendrocygna viduata","DENVID",NA,"white faced whistling duck"
NA,"BBWD",NA,"Black-bellied Whistling-Duck","Dendrocygna autumnalis","DENAUT",NA,"black bellied whistling duck"
NA,"WIWD",NA,"West Indian Whistling-Duck","Dendrocygna arborea","DENARB",NA,"west indian whistling duck"
NA,"FUWD",NA,"Fulvous Whistling-Duck","Dendrocygna bicolor","DENBIC",NA,"fulvous whistling duck"
NA,"EMGO",NA,"Emperor Goose","Anser canagicus","ANSCAN",NA,"emperor goose"
NA,"SNGO",NA,"Snow Goose","Anser caerulescens","ANSCAE",NA,"snow goose"
"+","LSGW",NA,"Lesser Snow Goose White-morph","Anser caerulescens caerulescens","ANSCCA",NA,"lesser snow goose white morph"
"+","LSGI",NA,"Lesser Snow Goose Intermediate-morph","Anser caerulescens caerulescens","ANSCCA",NA,"lesser snow goose intermediate morph"
"+","LSGB",NA,"Lesser Snow Goose Blue-morph","Anser caerulescens caerulescens","ANSCCA",NA,"lesser snow goose blue morph"
"+","GSGW",NA,"Greater Snow Goose White-morph","Anser caerulescens atlantica","ANSCAT",NA,"greater snow goose white morph"
"+","GSGI",NA,"Greater Snow Goose Intermediate-morph","Anser caerulescens atlantica","ANSCAT",NA,"greater snow goose intermediate morph"
"+","GSGB",NA,"Greater Snow Goose Blue-morph","Anser caerulescens atlantica","ANSCAT",NA,"greater snow goose blue morph"
"+","SRGH",NA,"Snow X Ross's Goose Hybrid","Anser caerulescens x rossii","ANSCAR",NA,"snow x rosss goose hybrid"
"+","SRGO",NA,"Snow/Ross's Goose","Anser caerulescens/rossii","ANSCRO",NA,"snow/rosss goose"
NA,"ROGO",NA,"Ross's Goose","Anser rossii","ANSROS",NA,"rosss goose"
NA,"GRGO",NA,"Graylag Goose","Anser anser","ANSANS",NA,"graylag goose"
NA,"GWFG",NA,"Greater White-fronted Goose","Anser albifrons","ANSALB",NA,"greater white fronted goose"
NA,"LWFG",NA,"Lesser White-fronted Goose","Anser erythropus","ANSERY",NA,"lesser white fronted goose"
NA,"TABG",NA,"Taiga Bean-Goose","Anser fabalis","ANSFAB",NA,"taiga bean goose"
NA,"TUBG",NA,"Tundra Bean-Goose","Anser serrirostris","ANSSER",NA,"tundra bean goose"
NA,"PFGO",NA,"Pink-footed Goose","Anser brachyrhynchus","ANSBRA",NA,"pink footed goose"
NA,"BRAN",NA,"Brant","Branta bernicla","BRABER",NA,"brant"
"+","ATBR",NA,"Atlantic Brant","Branta bernicula bernicla","BRABBE",NA,"atlantic brant"
"+","BRIN",NA,"Brant Intergrade","Branta bernicula bernicula x nigrican","BRABBN",NA,"brant intergrade"
"+","BLBR",NA,"Black Brant","Branta bernicula nigricans","BRABNI",NA,"black brant"
NA,"BARG","*","Barnacle Goose","Branta leucopsis","BRALEU",NA,"barnacle goose"
NA,"CACG","*","Cackling Goose","Branta hutchinsii","BRAHUT",NA,"cackling goose"
"+","ACGO",NA,"Aleutian Cackling Goose","Branta hutchinsii leucopareia","BRAHLE",NA,"aleutian cackling goose"
"+","MCGO",NA,"Minima Cackling Goose","Branta  hutchinsii minima","BRAHMI",NA,"minima cackling goose"
"+","CCGO",NA,"Cackling/Canada Goose","Branta  hutchinsii/canadensis","BRAHUC",NA,"cackling/canada goose"
NA,"CANG","*","Canada Goose","Branta canadensis","BRACAN",NA,"canada goose"
"+","LCGO",NA,"Large Canada Goose","Branta canadensis moffitti","BRACMO",NA,"large canada goose"
"+","SCGO",NA,"Small Canada Goose","Branta canadensis parvipes","BRACPA",NA,"small canada goose"
NA,"HAGO",NA,"Hawaiian Goose","Branta sandvicensis","BRASAN",NA,"hawaiian goose"
