"","Date","species_seen"
"1",1899-05-07,14
"2",1899-05-08,14
"3",1899-05-09,16
"4",1899-05-10,40
"5",1899-05-11,27
"6",1899-05-12,23
"7",1899-05-13,24
"8",1899-05-14,24
"9",1899-05-15,17
"10",1899-05-16,22
"11",1899-05-17,23
"12",1899-05-18,19
"13",1899-05-19,19
"14",1899-05-20,21
"15",1898-05-07,26
"16",1898-05-08,20
"17",1898-05-09,23
"18",1898-05-10,31
"19",1898-05-11,32
"20",1898-05-12,24
"21",1898-05-13,30
"22",1898-05-14,30
"23",1898-05-15,30
"24",1898-05-16,29
"25",1898-05-17,34
"26",1898-05-18,42
"27",1898-05-19,46
"28",1898-05-20,39
"29",1901-05-07,29
"30",1901-05-08,27
"31",1901-05-09,32
"32",1901-05-10,40
"33",1901-05-11,27
"34",1901-05-12,23
"35",1901-05-13,24
"36",1901-05-14,24
"37",1901-05-15,17
"38",1901-05-16,22
"39",1901-05-17,23
"40",1901-05-18,19
"41",1901-05-19,19
"42",1901-05-20,21
"43",1900-05-07,31
"44",1900-05-08,36
"45",1900-05-09,22
"46",1900-05-10,33
"47",1900-05-11,45
"48",1900-05-12,46
"49",1900-05-13,47
"50",1900-05-14,32
"51",1900-05-15,18
"52",1900-05-16,26
"53",1900-05-17,17
"54",1900-05-18,21
"55",1900-05-19,24
"56",1900-05-20,32
"57",1903-05-07,41
"58",1903-05-08,40
"59",1903-05-09,54
"60",1903-05-10,42
"61",1903-05-11,52
"62",1903-05-12,69
"63",1903-05-13,46
"64",1903-05-14,29
"65",1903-05-15,36
"66",1903-05-16,51
"67",1903-05-17,42
"68",1903-05-18,45
"69",1903-05-19,44
"70",1903-05-20,39
"71",1927-03-06,6
"72",1927-03-13,14
"73",1927-03-20,11
"74",1927-03-27,11
"75",1927-04-03,11
"76",1927-04-10,16
"77",1927-04-17,22
"78",1927-04-24,19
"79",1927-05-01,22
"80",1927-05-07,17
"81",1927-05-08,29
"82",1927-05-15,38
"83",1927-05-18,3
"84",1927-05-19,1
"85",1927-05-21,28
"86",1927-05-22,32
"87",1927-05-29,29
"88",1928-03-04,4
"89",1928-03-11,7
"90",1928-03-18,7
"91",1928-03-21,1
"92",1928-03-25,15
"93",1928-04-01,19
"94",1928-04-02,1
"95",1928-04-08,29
"96",1928-04-15,20
"97",1928-04-22,24
"98",1928-04-29,32
"99",1928-05-01,24
"100",1928-05-02,30
"101",1928-05-03,44
"102",1928-05-04,36
"103",1928-05-05,30
"104",1928-05-06,28
"105",1928-05-07,30
"106",1928-05-08,27
"107",1928-05-09,36
"108",1928-05-10,40
"109",1928-05-11,39
"110",1928-05-12,39
"111",1928-05-13,27
"112",1928-05-14,43
"113",1928-05-15,46
"114",1928-05-16,34
"115",1928-05-17,47
"116",1928-05-18,45
"117",1928-05-19,41
"118",1928-05-20,42
"119",1928-05-21,48
"120",1928-05-22,39
"121",1928-05-23,22
"122",1928-05-24,27
"123",1928-05-25,25
"124",1928-05-26,29
"125",1928-05-27,25
"126",1928-05-28,29
"127",1928-05-29,38
"128",1928-05-30,27
"129",1928-05-31,23
"130",1929-03-01,3
"131",1929-03-02,4
"132",1929-03-03,3
"133",1929-03-04,3
"134",1929-03-05,4
"135",1929-03-06,5
"136",1929-03-07,1
"137",1929-03-08,4
"138",1929-03-09,1
"139",1929-03-10,2
"140",1929-03-11,6
"141",1929-03-12,16
"142",1929-03-13,1
"143",1929-03-14,15
"144",1929-03-15,9
"145",1929-03-16,1
"146",1929-03-17,12
"147",1929-03-18,12
"148",1929-03-19,13
"149",1929-03-20,7
"150",1929-03-21,16
"151",1929-03-22,1
"152",1929-03-23,17
"153",1929-03-24,1
"154",1929-03-25,17
"155",1929-03-26,12
"156",1929-03-27,13
"157",1929-03-28,11
"158",1929-03-29,10
"159",1929-03-30,9
"160",1929-03-31,11
"161",1929-04-02,20
"162",1929-04-03,19
"163",1929-04-04,23
"164",1929-04-05,30
"165",1929-04-06,23
"166",1929-04-07,23
"167",1929-04-08,27
"168",1929-04-09,21
"169",1929-04-13,20
"170",1929-04-14,19
"171",1929-04-16,23
"172",1929-04-17,20
"173",1929-04-18,24
"174",1929-04-19,25
"175",1929-04-22,30
"176",1929-04-23,28
"177",1929-04-24,37
"178",1929-04-25,37
"179",1929-04-26,32
"180",1929-04-27,29
"181",1929-04-28,29
"182",1929-04-29,28
"183",1929-04-30,30
"184",1929-05-01,31
"185",1929-05-02,9
"186",1929-05-03,30
"187",1929-05-04,29
"188",1929-05-05,29
"189",1929-05-06,39
"190",1929-05-07,37
"191",1929-05-08,33
"192",1929-05-09,33
"193",1929-05-10,40
"194",1929-05-11,51
"195",1929-05-12,25
"196",1929-05-13,45
"197",1929-05-14,2
"198",1929-05-15,42
"199",1929-05-16,44
"200",1929-05-17,45
"201",1929-05-18,45
"202",1929-05-19,38
"203",1929-05-20,49
"204",1929-05-21,39
"205",1929-05-22,28
"206",1929-05-23,48
"207",1929-05-24,38
"208",1929-05-25,40
"209",1929-05-26,36
"210",1929-05-27,35
"211",1929-05-28,33
"212",1929-05-29,19
"213",1929-05-30,19
"214",1929-05-31,19
"215",1930-03-01,5
"216",1930-03-05,5
"217",1930-03-06,7
"218",1930-03-07,5
"219",1930-03-09,5
"220",1930-03-10,10
"221",1930-03-11,5
"222",1930-03-12,6
"223",1930-03-13,7
"224",1930-03-16,13
"225",1930-03-17,10
"226",1930-03-19,6
"227",1930-03-20,9
"228",1930-03-21,8
"229",1930-03-22,8
"230",1930-03-24,10
"231",1930-03-31,7
"232",1930-04-01,21
"233",1930-04-02,18
"234",1930-04-03,18
"235",1930-04-04,15
"236",1930-04-05,20
"237",1930-04-06,15
"238",1930-04-07,12
"239",1930-04-08,12
"240",1930-04-09,19
"241",1930-04-10,24
"242",1930-04-11,29
"243",1930-04-12,25
"244",1930-04-14,21
"245",1930-04-17,35
"246",1930-04-19,28
"247",1930-04-22,23
"248",1930-04-23,30
"249",1930-04-24,25
"250",1930-04-25,28
"251",1930-04-26,24
"252",1930-04-27,31
"253",1930-04-28,26
"254",1930-04-29,37
"255",1930-04-30,33
"256",1930-05-01,32
"257",1930-05-02,49
"258",1930-05-03,28
"259",1930-05-04,26
"260",1930-05-05,38
"261",1930-05-06,38
"262",1930-05-07,40
"263",1930-05-08,45
"264",1930-05-09,45
"265",1930-05-10,33
