"","species","observer","mu_prop","sd_prop"
"1","Purple Martin","Walter",0.0629192008502353,0.0875526499456865
"2","Purple Martin","Dreuth",0.545839169000934,0.142360206322601
"3","Purple Martin","Fidino",0,0
"4","Eastern Bluebird","Walter",0.326630108957695,0.223040626426568
"5","Eastern Bluebird","Dreuth",0.14421685340803,0.105697813784928
"6","Eastern Bluebird","Fidino",0.0227683178534572,0.0348366483957511
"7","Black-throated Blue Warbler","Walter",0.167083227428055,0.0235983767628154
"8","Black-throated Blue Warbler","Dreuth",0.109916258169935,0.0420473243574727
"9","Black-throated Blue Warbler","Fidino",0.0277545228617763,0.0265492938698445
"10","Red-headed Woodpecker","Walter",0.28630141561176,0.0555123361118791
"11","Red-headed Woodpecker","Dreuth",0.332937966853408,0.218584984272334
"12","Red-headed Woodpecker","Fidino",0.0345072239422085,0.0485284790678297
"13","Veery","Walter",0.322066897497932,0.137772922793939
"14","Veery","Dreuth",0.169915674603175,0.1254194924203
"15","Veery","Fidino",0.0505294222952339,0.0495165723113344
"16","Blue Jay","Walter",0.715848517572656,0.118469712028703
"17","Blue Jay","Dreuth",0.417536181139122,0.0943910636497786
"18","Blue Jay","Fidino",0.152642679159671,0.0915495970172403
"19","Brown-headed Cowbird","Walter",0.563970673884467,0.0676959251450328
"20","Brown-headed Cowbird","Dreuth",0.338792600373483,0.16202345117226
"21","Brown-headed Cowbird","Fidino",0.171478535331303,0.0566723297526717
"22","Eastern Towhee","Walter",0.471536715071198,0.155054318603688
"23","Eastern Towhee","Dreuth",0.410177404295051,0.131075397713124
"24","Eastern Towhee","Fidino",0.174770598489612,0.0848009836600888
