date,count
4-7-1899,14
4-8-1899,14
4-9-1899,16
4-10-1899,40
4-11-1899,27
4-12-1899,23
4-13-1899,24
4-14-1899,24
4-15-1899,17
4-16-1899,22
4-17-1899,23
4-18-1899,19
4-19-1899,19
4-20-1899,21
4-7-1898,26
4-8-1898,20
4-9-1898,23
4-10-1898,31
4-11-1898,32
4-12-1898,24
4-13-1898,30
4-14-1898,30
4-15-1898,30
4-16-1898,29
4-17-1898,34
4-18-1898,42
4-19-1898,46
4-20-1898,39
4-7-1901,29
4-8-1901,27
4-9-1901,32
4-10-1901,40
4-11-1901,27
4-12-1901,23
4-13-1901,24
4-14-1901,24
4-15-1901,17
4-16-1901,22
4-17-1901,23
4-18-1901,19
4-19-1901,19
4-20-1901,21
4-7-1900,31
4-8-1900,36
4-9-1900,22
4-10-1900,33
4-11-1900,45
4-12-1900,46
4-13-1900,47
4-14-1900,32
4-15-1900,18
4-16-1900,26
4-17-1900,17
4-18-1900,21
4-19-1900,24
4-20-1900,32
4-7-1903,41
4-8-1903,40
4-9-1903,54
4-10-1903,42
4-11-1903,52
4-12-1903,69
4-13-1903,46
4-14-1903,29
4-15-1903,36
4-16-1903,51
4-17-1903,42
4-18-1903,45
4-19-1903,44
4-20-1903,39
