"species","daySeen","countOfDays"
"Red-winged Blackbird",215,235
"European Starling",213,235
"American Crow",210,235
"American Robin",189,235
"Common Grackle",186,235
"Northern Cardinal",179,235
"Song Sparrow",170,235
"Black-capped Chickadee",169,235
"Rock Pigeon",159,235
"Downy Woodpecker",150,235
"Dark-eyed Junco",117,235
"American Goldfinch",112,235
"Northern Flicker",111,235
"Northern Rough-winged Swallow",97,235
"Yellow-rumped Warbler",92,235
"Barn Swallow",89,235
"Ruby-crowned Kinglet",78,235
"Palm Warbler",77,235
"White-throated Sparrow",76,235
"Swamp Sparrow",71,235
"White-crowned Sparrow",66,235
"Yellow Warbler",65,235
"Common Yellowthroat",64,235
"House Finch",64,235
"Gray Catbird",62,235
"Hermit Thrush",60,235
"Blue-gray Gnatcatcher",59,235
"American Redstart",57,235
"Chimney Swift",54,235
"Baltimore Oriole",50,235
"Brown Thrasher",50,235
"Mourning Dove",50,235
"Brown Creeper",49,235
"Northern Waterthrush",49,235
"Warbling Vireo",49,235
"American Tree Sparrow",47,235
"Chipping Sparrow",46,235
"Black-and-white Warbler",45,235
"Magnolia Warbler",44,235
"Brown-headed Cowbird",41,235
"Eastern Towhee",41,235
"Field Sparrow",41,235
"Yellow-bellied Sapsucker",41,235
"Belted Kingfisher",39,235
"Eastern Phoebe",38,235
"Lincoln's Sparrow",38,235
"Blue Jay",37,235
"Cooper's Hawk",37,235
"Fox Sparrow",36,235
"Wilson's Warbler",35,235
"Swainson's Thrush",34,235
"Chestnut-sided Warbler",33,235
"Red-bellied Woodpecker",33,235
"Eastern Wood-Pewee",29,235
"House Wren",29,235
"Nashville Warbler",28,235
"Savannah Sparrow",28,235
"Blackpoll Warbler",26,235
"Golden-crowned Kinglet",26,235
"Indigo Bunting",21,235
"Least Flycatcher",21,235
"Red-breasted Nuthatch",21,235
"Scarlet Tanager",21,235
"Black-throated Green Warbler",20,235
"Ovenbird",20,235
"Cape May Warbler",19,235
"Red-eyed Vireo",18,235
"Rose-breasted Grosbeak",18,235
"Blackburnian Warbler",17,235
"Willow Flycatcher",17,235
"Yellow-bellied Flycatcher",17,235
"Hairy Woodpecker",16,235
"Canada Warbler",15,235
"Eastern Kingbird",15,235
"Great Crested Flycatcher",15,235
"Tree Swallow",14,235
"Gray-cheeked Thrush",13,235
"Northern Parula",13,235
"Veery",12,235
"Clay-colored Sparrow",11,235
"Mourning Warbler",11,235
"Wood Thrush",11,235
"Cedar Waxwing",10,235
"Eastern Meadowlark",9,235
"Red-headed Woodpecker",9,235
"Ruby-throated Hummingbird",8,235
"Vesper Sparrow",8,235
"Blue-headed Vireo",7,235
"Cliff Swallow",7,235
"Marsh Wren",7,235
"Orange-crowned Warbler",7,235
"Pine Warbler",7,235
"Yellow-throated Vireo",7,235
"American Kestrel",6,235
"Black-throated Blue Warbler",6,235
"Eastern Bluebird",6,235
"Philadelphia Vireo",6,235
"Hooded Warbler",5,235
"Bay-breasted Warbler",4,235
"Louisiana Waterthrush",4,235
"White-breasted Nuthatch",4,235
"Winter Wren",4,235
"Cerulean Warbler",3,235
"Northern Mockingbird",3,235
"Olive-sided Flycatcher",3,235
"Prothonotary Warbler",3,235
"Tennessee Warbler",3,235
"Blue-winged Warbler",2,235
"Brewer's Blackbird",2,235
"Golden-winged Warbler",2,235
"LeConte's Sparrow",2,235
"Pine Siskin",2,235
"Yellow-billed Cuckoo",2,235
"Yellow-breasted Chat",2,235
"Yellow-throated Warbler",2,235
"Acadian Flycatcher",1,235
"American Pipit",1,235
"Bank Swallow",1,235
"Connecticut Warbler",1,235
"Great Horned Owl",1,235
"Henslow's Sparrow",1,235
"Long-eared Owl",1,235
"Red-tailed Hawk",1,235
"Rusty Blackbird",1,235
"Summer Tanager",1,235
