"","","5%","95%"
"(Intercept)",-3.12560840231928,-3.70950900447649,-2.54483618414875
"dreuth",0.402878763062316,0.213173586222425,0.587257357250429
"fidino",-0.186620542606797,-0.712426107021012,0.331096989577452
"change",-0.0258161281453783,-0.187738966365149,0.143461927836523
"diet_breadth",0.177861473838967,-0.0334662761586957,0.400971255806167
"forstrat_breadth",0.111365491346312,-0.182099912192372,0.397569515982198
"fidino:change",0.397008453764464,0.246042165683821,0.545489221501098
"fidino:diet_breadth",0.351939576552974,0.158984069682717,0.539942326422582
"fidino:forstrat_breadth",-0.258901157191469,-0.521599141845981,-0.0118085441600211
"b[(Intercept) species:American_Crow]",0.131644020282758,-0.867362921248263,1.12163825620657
"b[dreuth species:American_Crow]",-0.962225207533899,-1.37057164808386,-0.553569673195315
"b[fidino species:American_Crow]",2.9405049538825,2.02907843359233,3.87357298128963
"b[(Intercept) species:American_Goldfinch]",1.07497422752293,0.546530927579288,1.5978222838858
"b[dreuth species:American_Goldfinch]",-0.45042999732313,-0.789974528978351,-0.10698563681448
"b[fidino species:American_Goldfinch]",0.181503786936716,-0.32844713517624,0.710826962079398
"b[(Intercept) species:American_Kestrel]",-1.15817901501886,-1.79287571014988,-0.587824341218123
"b[dreuth species:American_Kestrel]",-1.57773822522342,-2.60496609257714,-0.654826221847389
"b[fidino species:American_Kestrel]",-0.0482402258774331,-0.971612351607666,0.809317634761873
"b[(Intercept) species:American_Redstart]",1.27238153460792,0.911662509596871,1.62713384947122
"b[dreuth species:American_Redstart]",0.227929022977312,-0.0986752018482935,0.553151101549203
"b[fidino species:American_Redstart]",-0.0113748512077103,-0.440246639281971,0.419949585864806
"b[(Intercept) species:American_Robin]",4.4181503139376,3.99175407345429,4.85147756588798
"b[dreuth species:American_Robin]",-0.431346048552307,-0.7971478314381,-0.062192835431946
"b[fidino species:American_Robin]",-0.149373838171525,-0.622654490769991,0.331068002926528
"b[(Intercept) species:American_Tree_Sparrow]",0.180198606058664,-0.321672359018034,0.670256624722977
"b[dreuth species:American_Tree_Sparrow]",0.469553315829506,0.0621189964444734,0.895576578786189
"b[fidino species:American_Tree_Sparrow]",1.49240116237407,0.965068271463023,2.03766905073198
"b[(Intercept) species:Baltimore_Oriole]",0.758147248271764,0.140777125917516,1.38151631655211
"b[dreuth species:Baltimore_Oriole]",-0.437928035579921,-0.80696102216443,-0.0818623940510317
"b[fidino species:Baltimore_Oriole]",0.822161606927261,0.211941776781358,1.45652114979351
"b[(Intercept) species:Bank_Swallow]",-2.99277863872063,-4.40019715523982,-1.8309449105414
"b[dreuth species:Bank_Swallow]",1.34892721299414,0.179611387122304,2.74454217919651
"b[fidino species:Bank_Swallow]",1.0570493780844,-0.726079787190105,2.76932149417476
"b[(Intercept) species:Barn_Swallow]",1.27078833242519,0.430617305589881,2.10515699784127
"b[dreuth species:Barn_Swallow]",-1.14246563727486,-1.52918094856633,-0.766593197446836
"b[fidino species:Barn_Swallow]",-1.08472609591911,-1.8621991723575,-0.314157656903379
"b[(Intercept) species:Bay-breasted_Warbler]",-0.381595255092594,-0.986578327843699,0.223294538402011
"b[dreuth species:Bay-breasted_Warbler]",0.231991695444447,-0.285577551636779,0.760696080319598
"b[fidino species:Bay-breasted_Warbler]",-1.30020346402063,-2.25300988415947,-0.421355076618014
"b[(Intercept) species:Belted_Kingfisher]",1.40951069181035,0.795544767403875,2.02581389510201
"b[dreuth species:Belted_Kingfisher]",-0.771086923247756,-1.09872283682606,-0.444293778720261
"b[fidino species:Belted_Kingfisher]",-0.855218229160709,-1.46071330192898,-0.244675491422126
"b[(Intercept) species:Black-and-white_Warbler]",1.23897258453452,0.798674446387966,1.68047581433417
"b[dreuth species:Black-and-white_Warbler]",0.154103032742416,-0.177419669480664,0.483431124257467
"b[fidino species:Black-and-white_Warbler]",0.39201414800864,-0.101393270552524,0.893314618794062
"b[(Intercept) species:Black-billed_Cuckoo]",-1.83235674900865,-2.70276590899008,-0.982646217495143
"b[dreuth species:Black-billed_Cuckoo]",0.248117659176901,-0.439236746365204,0.975083071779201
"b[fidino species:Black-billed_Cuckoo]",-1.8481324270828,-3.4342731526997,-0.52558772854513
"b[(Intercept) species:Black-capped_Chickadee]",-0.502700324136936,-1.23967050713284,0.220491110568055
"b[dreuth species:Black-capped_Chickadee]",-1.51523120881664,-2.37834556402789,-0.753206572197542
"b[fidino species:Black-capped_Chickadee]",2.4816854560295,1.77350670229858,3.2095065027767
"b[(Intercept) species:Black-throated_Blue_Warbler]",0.749581930320612,0.28252914245643,1.20705396660008
"b[dreuth species:Black-throated_Blue_Warbler]",-0.825768588785505,-1.21551019745744,-0.444692472706982
"b[fidino species:Black-throated_Blue_Warbler]",-2.26866763890589,-3.05213479924477,-1.55627299455191
"b[(Intercept) species:Black-throated_Green_Warbler]",0.309750407919134,-0.12527552368768,0.731883990721592
"b[dreuth species:Black-throated_Green_Warbler]",0.203423783949325,-0.186660278575761,0.595470169645081
"b[fidino species:Black-throated_Green_Warbler]",-0.140508871291883,-0.695974437175922,0.41123335336208
"b[(Intercept) species:Blackburnian_Warbler]",0.433837883073786,-0.0484945424049167,0.903795618704862
"b[dreuth species:Blackburnian_Warbler]",0.0109504011204206,-0.399839275086169,0.411980374760312
"b[fidino species:Blackburnian_Warbler]",0.0777592970913561,-0.533616834393762,0.669527300097921
"b[(Intercept) species:Blackpoll_Warbler]",0.297106790222164,-0.327724479119662,0.918612844760059
"b[dreuth species:Blackpoll_Warbler]",0.11839747149718,-0.29527737918175,0.521103806326432
