"species","Habitat","Food","Nesting","Behavior","Conservation","status"
"Acadian Flycatcher","Forests","Insects","Tree","Flycatching","Low Concern","Breeding"
"American Bittern","Marshes","Fish","Ground","Stalking","Low Concern","Breeding"
"American Black Duck","Lakes and Ponds","Insects","Ground","Dabbler","Low Concern","Nonbreeding"
"American Coot","Lakes and Ponds","Plants","Floating","Surface Dive","Low Concern","Year-round"
"American Crow","Open Woodlands","Omnivore","Tree","Ground Forager","Low Concern","Year-round"
"American Goldfinch","Open Woodlands","Seeds","Shrub","Foliage Gleaner","Low Concern","Year-round"
"American Kestrel","Grasslands","Small Animals","Cavity","Aerial Dive (ground/talons)","Low Concern","Year-round"
"American Pipit","Tundra","Insects","Ground","Ground Forager","Low Concern","Migrating"
"American Redstart","Forests","Insects","Tree","Foliage Gleaner","Low Concern","Breeding"
"American Robin","Open Woodlands","Insects","Tree","Ground Forager","Low Concern","Year-round"
"American Tree Sparrow","Open Woodlands","Seeds","Ground","Ground Forager","Common Bird in Steep Decline","Nonbreeding"
"American Wigeon","Lakes and Ponds","Plants","Ground","Dabbler","Low Concern","Migrating"
"American Woodcock","Forests","Insects","Ground","Probing","Declining","Breeding"
"Bachman's Sparrow","Open Woodlands","Seeds","Ground","Ground Forager","Red Watch List","Out of range"
"Baltimore Oriole","Open Woodlands","Insects","Tree","Foliage Gleaner","Low Concern","Breeding"
"Bank Swallow","Lakes and Ponds","Insects","Burrow","Aerial Forager","Common Bird in Steep Decline","Breeding"
"Barn Swallow","Grasslands","Insects","Building","Aerial Forager","Low Concern","Breeding"
"Bay-breasted Warbler","Forests","Insects","Tree","Foliage Gleaner","Low Concern","Migrating"
"Belted Kingfisher","Lakes and Ponds","Fish","Burrow","Aerial Dive (water)","Low Concern","Year-round"
"Bewick's Wren","Open Woodlands","Insects","Cavity","Foliage Gleaner","Low Concern","Out of range"
"Black-and-white Warbler","Forests","Insects","Ground","Bark Forager","Low Concern","Migrating"
"Black-billed Cuckoo","Forests","Insects","Tree","Foliage Gleaner","Declining","Breeding"
"Black-capped Chickadee","Forests","Insects","Cavity","Foliage Gleaner","Low Concern","Year-round"
"Black-crowned Night-Heron","Marshes","Fish","Tree","Stalking","Low Concern","Breeding"
"Black-throated Blue Warbler","Forests","Insects","Shrub","Foliage Gleaner","Low Concern","Migrating"
"Black-throated Green Warbler","Forests","Insects","Tree","Foliage Gleaner","Low Concern","Migrating"
"Black Scoter","Oceans","Aquatic invertebrates","Ground","Surface Dive","Low Concern","Out of range"
"Black Tern","Marshes","Insects","Floating","Aerial Forager","Common Bird in Steep Decline","Breeding"
"Blackburnian Warbler","Forests","Insects","Tree","Foliage Gleaner","Low Concern","Migrating"
"Blackpoll Warbler","Forests","Insects","Tree","Foliage Gleaner","Common Bird in Steep Decline","Migrating"
"Blue-gray Gnatcatcher","Forests","Insects","Tree","Foliage Gleaner","Low Concern","Breeding"
"Blue-headed Vireo","Forests","Insects","Tree","Foliage Gleaner","Low Concern","Migrating"
"Blue-winged Teal","Marshes","Omnivore","Ground","Dabbler","Low Concern","Breeding"
"Blue-winged Warbler","Open Woodlands","Insects","Ground","Foliage Gleaner","Low Concern","Breeding"
"Blue Jay","Forests","Omnivore","Tree","Ground Forager","Low Concern","Year-round"
"Bobolink","Grasslands","Seeds","Ground","Ground Forager","Declining","Breeding"
"Bonaparte's Gull","Lakes and Ponds","Aquatic invertebrates","Tree","Dabbler","Low Concern","Migrating"
"Brewer's Blackbird","Towns","Seeds","Shrub","Ground Forager","Common Bird in Steep Decline","Migrating"
"Brown-headed Cowbird","Grasslands","Seeds","Tree","Ground Forager","Low Concern","Year-round"
"Brown Creeper","Forests","Insects","Tree","Bark Forager","Low Concern","Nonbreeding"
"Brown Thrasher","Scrub","Omnivore","Shrub","Ground Forager","Low Concern","Breeding"
"Bufflehead","Lakes and Ponds","Aquatic invertebrates","Cavity","Surface Dive","Low Concern","Wintering"
"Canada Goose","Marshes","Seeds","Ground","Ground Forager","Low Concern","Year-round"
"Canada Warbler","Forests","Insects","Ground","Foliage Gleaner","Declining","Migrating"
"Canvasback","Lakes and Ponds","Plants","Floating","Surface Dive","Low Concern","Nonbreeding"
"Cape May Warbler","Forests","Insects","Tree","Foliage Gleaner","Declining","Migrating"
"Caspian Tern","Shorelines","Fish","Ground","Aerial Dive (water)","Low Concern","Migrating"
"Cedar Waxwing","Open Woodlands","Fruit","Tree","Foliage Gleaner","Low Concern","Year-round"
"Cerulean Warbler","Forests","Insects","Tree","Foliage Gleaner","Declining","Breeding"
"Chestnut-sided Warbler","Open Woodlands","Insects","Shrub","Foliage Gleaner","Low Concern","Breeding"
"Chimney Swift","Towns","Insects","Building","Aerial Forager","Declining","Breeding"
"Chipping Sparrow","Open Woodlands","Seeds","Shrub","Ground Forager","Low Concern","Breeding"
"Clay-colored Sparrow","Scrub","Seeds","Shrub","Foliage Gleaner","Low Concern","Migrating"
"Cliff Swallow","Lakes and Ponds","Insects","Cliff","Aerial Forager","Low Concern","Breeding"
